departure_hour,mean_delay,median_delay,number_of_trips
0.0,1.0636875206885137,-0.06666666666666667,3021
1.0,1.3949047274481428,0.08333333333333333,2764
2.0,1.4825564689919388,0.21666666666666667,12529
3.0,1.3383930190763549,0.3,40434
4.0,1.72319321059182,0.43333333333333335,62136
5.0,2.0349948118925805,0.5666666666666667,64892
6.0,2.1884021296960996,0.5333333333333333,55720
7.0,2.0605918636714105,0.4166666666666667,51014
8.0,1.820895397208803,0.36666666666666664,49680
9.0,1.7769800958044268,0.36666666666666664,48432
10.0,1.6947776771032586,0.35,49665
11.0,1.962601226284128,0.43333333333333335,51864
12.0,1.9131816397384467,0.5,54342
13.0,2.0013427671804638,0.5333333333333333,54626
14.0,2.237380069558219,0.6,57985
15.0,2.4771723747523353,0.7333333333333333,60061
16.0,2.2107340385080714,0.6333333333333333,57858
17.0,2.1368295115262295,0.55,54817
18.0,1.9565050679093323,0.43333333333333335,51073
19.0,1.8626796271522894,0.36666666666666664,46346
20.0,1.5963068736574888,0.21666666666666667,40968
21.0,1.3700428113835161,0.16666666666666666,32468
22.0,1.3621283405344855,0.11666666666666667,20830
23.0,1.5318033854166668,0.03333333333333333,10752
