weekday,mean_delay,median_delay,number_of_trips
Friday,2.3837469613024336,0.6,109559
Monday,2.0930750645365768,0.55,108853
Saturday,1.3508120121927196,0.2,93061
Sunday,1.3036202708482945,0.13333333333333333,84943
Thursday,2.18836110366667,0.5833333333333334,108209
Tuesday,2.2662121226029726,0.5666666666666667,108937
Wednesday,2.1204184114353883,0.5666666666666667,110091
