ziel_betriebsstelle
AA
ABFA1
ABFH1
ABZ
ACHS12
ACHS21
AG
AG H1
AH
AH A1
AHO
AHS
AJ
AJ H1
AJ H5
AJ S11
AK
AK H1
AMOH2
AMS
AMSH1U
AMSS12
AMSS82
AMSZ1
AO S12
AOS
AP
APOH1
AR
ASO
AST
ASTZ1
AT
AT H1
AT S11
AT S12
AU
AU H1
AUT
AUZ
AW
AW H1
AW S12
AW S41
AW U2
AX
B
B  A1M
B  G
B  H1
B  H1M
B  S12
BA
BC
BCHH4
BDE
BE
BEH
BEL
BELG
BF
BF H1
BF S21
BF U1
BG
BG H1
BGLH1A
BGLH2
BGLS12
BGT
BGTG
BH
BH S11
BH S12
BIB
BK
BL
BLE
BLEG
BLEH1
BLG
BLS
BM
BM S12
BM S14
BM S33
BO
BO S31
BOB
BPA
BR H3
BRD
BRDH1
BRF
BRI
BRIS11
BRIS12
BRIS31
BRO
BRU
BRUG
BS
BS S11
BS S12
BS S41
BSE
BT H1
BU
BUN
BVS
BVSH1
BVSS12
BZ H1
CAT
CF
CF Z1
CV
DG
DK
DLB
DLBH1
DLBH3
DNV
DO H1
DO S11
DOE
DOK
DR
DRG
DUEH1
E
EBN
EBR
ED
EDBS21
EDL
EDLA1
EDLA2
EDO
EF
EF H1
EF W1
EGG
EGGS11
EGGS12
EH
EIBS41
EL
EL S21
ELAH1
ENZ
ENZH1
ERF
ERFA2
ERNH1
ESU
EZ
EZ H2
F
F  H1
F  H3S
F  S11
F  S12
F  S21
FA A1
FA S11
FA S12
FAM
FAS
FASH1
FB
FB G
FB H1
FCHS31
FD
FD H1H
FEG
FEGH1
FEL
FELH1
FH
FI H1
FIB
FIBH1
FK
FK H1
FK H1N
FK S11
FK S12
FLD
FLDS12
FM S12
FOE
FOEH1
FR
FR S11
FRO
FROS11
FROS12
FRS
FRT
FS
FS H1
FT
FU
FUEA1
FW
FW S12
FW U3
FWA
FWAH1
FWS
FWSZ1
G
G  A2
GA H1
GAE
GAEH1
GAEH2
GAI
GAS
GASH1
GB H1
GBK
GBKH1
GD
GD H1
GDB
GDF
GEFS12
GEFS31
GEFU2
GES
GG
GG A1
GH
GJ
GJ H1
GK S31
GKF
GKFH2
GKFS12
GKV
GL
GLA
GLD
GLDA1
GLDG
GLI
GLO
GLOH1
GLOS21
GM
GM G
GMI
GN
GN S11
GN S12
GO
GOB
GOE
GOEW1
GOF
GOFH3
GOT
GOTA1
GOTH1
GR
GR H1
GR S11
GRAH1
GRAS11
GRAS12
GRB
GRBH2
GRE
GRO
GRUA1
GRUH2
GRUH3
GS
GST
GT
GTT
GTTH1
GTTL1
GU Z2
GUD
GUK
GUKH2
GUNS12
GUR
GURA1
GW H1
GZS
H
H  H1
H  H3
H  S11
H  S31
HAI
HAIH2
HAK
HAL
HAR
HAUS11
HCHH3
HDV
HE
HEN
HEZ
HF
HF H1
HF H2
HF H3
HF H4
HF S12
HF S14
HF U22
HFA
HFAS92
HFG
HFU
HG
HGR
HGRS12
HI
HIMS11
HK H1
HK H3
HKAG
HL
HL H1A
HL S51
HL S52
HLU
HM
HN
HN H1
HNA
HNAH1
HNAS12
HNF
HO
HO H1
HOES12
HOES21
HOH
HOMH2
HOS
HOSH2
HOSZ1
HP H1
HP U1
HT
HT H3
HT S11
HT S12
HT S21
HT S22
HT U3
HU
HU H1
HU H4
HU S21
HUI
HW H1
HW S12
HW Z3
HZ
I
I  U3
I  W1
I  Z1
ID S11
IDT
IF
IH
IH H1
IL
IL A1
IM
IM S12
IRN
IZ
J
JB
JB S12
JD
JD G
JN
JP S12
JP S21
JS
JSW
JTI
JTIA1
JTIA2
JTIS12
K
K  G
K  S12
K  S31
KA
KAIA1
KAR
KARS97
KAS
KCH
KD A1
KE
KEK
KEN
KENH1
KENH2
KF
KF S11
KFL
KG
KG S11
KG S12
KHDS12
KHDS41
KI H1
KI S12
KIK
KIRS11
KITH3
KITS12
KLA
KLSS21
KO
KO A1
KO A1A
KO H2
KO S31
KO U1
KR
KR G
KRDH1
KRE
KRT
KRTS11
KRTS12
KRV
KSW
KT
KT H1
KT H1A
KT S12
KTF
KTO
KTS
KTT
KTTG
KU
KUES21
KW
KZ
KZ S12
KZ S21
KZB
KZBH1
KZBH2
LA
LA S21
LA S22
LA W1
LADS11
LAT
LATH1
LATW1
LAV
LAVS12
LAVW1
LAWH2
LAZ
LB
LB H1
LB S12
LBO
LBOA1
LBOA2
LC
LC G
LC S11
LC S12
LD H1
LD S11
LDF
LDFH1
LDFS11
LDFS12
LE
LEB
LEI
LER
LEW
LEZS11
LFG
LFS
LG
LG H1
LGF
LIE
LIEH1
LILA2
LIM
LIMB11
LIR
LIS
LISH1
LN
LN A1
LN Z1
LNG
LNGH1
LNGH2
LNO
LOFS21
LOS
LOSS12
LOSS51
LOSU3
LP
LS
LS G
LT A1
LU
LV
LWA
LWAW1
LX
LZ
LZ S31
LZG
LZVW4
LZW
M
M  A1
M  H1
M  S12
MA
MA S12
MAC
MACG
MAE
MAG
MAH
MALA2
MALH1H
MALS21
MAR
MASA1
MASA1A
MASH1H
MAT
MAU
MB
MB H1H
MD
MD S12
MD S31
MDG
