start_betriebsstelle,ziel_betriebsstelle,mean_delay,median_delay,number_of_trips
MLX,TH G,4.370833333333334,-0.6583333333333333,4
MLX,TN S21,11.972222222222221,6.516666666666667,3
MLX,VB,4.51,1.7666666666666666,5
MLX,VBO,5.390109343936381,1.4666666666666666,2012
MLX,W,69.79166666666667,69.79166666666667,2
MLX,WATS11,2.0166666666666666,2.0166666666666666,1
MLX,WEK,5.796875,3.216666666666667,16
MLX,WSTSC1,49.05,49.05,1
MLX,WULS21,39.56666666666667,49.15,3
MOG,FEGH1,0.6520833333333333,0.008333333333333333,8
MOG,GZS,0.05045045045045045,-0.25,37
MOSH3,NF,0.1,0.1,1
MOT,STL,18.253333333333334,6.033333333333333,5
MR H1,LS,-0.9166666666666666,-0.9166666666666666,1
MRN,KTS,-0.30020858164481523,-0.5333333333333333,3356
MSW,HAIH2,0.2090909090909091,-0.041666666666666664,22
MSW,OF,0.36666666666666664,0.36666666666666664,1
MSW,VBO,5.633333333333334,5.633333333333334,1
MT,BG,27.6,27.6,1
MT,FK H1,-0.3071428571428572,-0.2833333333333333,7
MT,GMI,1.0666666666666667,1.0666666666666667,1
MT,GZS,7.808333333333334,7.808333333333334,2
MT,LATH1,8.183333333333334,8.183333333333334,2
MT,LC,6.31699604743083,2.3333333333333335,253
MT,LC G,5.05,5.05,2
MT,LC S11,4.976023391812865,2.9,114
MT,LIR,2.611863098301596,0.8666666666666667,1943
MT,MLX,27.19545454545454,2.1333333333333333,11
MT,MT,8.053333333333333,0.38333333333333336,5
MT G,BG,2.807003546099291,2.6166666666666667,188
MT G,DO H1,0.8598842018196856,0.6166666666666667,403
MT G,FK H1,0.6037878787878788,0.016666666666666666,286
MT G,GOTA1,-0.4166666666666667,-0.4166666666666667,1
MT G,HFU,0.55,0.55,1
MT G,HOSZ1,-0.033095238095238094,-0.16666666666666666,140
MT G,LATH1,1.8707146990740742,1.6,5760
MT G,LC,5.266666666666667,5.266666666666667,1
MT G,LC S11,2.4833333333333334,2.4833333333333334,1
MT G,LIR,0.14047619047619048,-0.008333333333333333,14
