zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta
1903,2025-12-03,2025-12-03T04:43:34+0100,,AOS,2025-12-03T06:10:15+0100,,OW,
2255,2025-12-03,2025-12-03T17:49:51+0100,,NW S42,2025-12-03T18:49:06+0100,,NBN,
2270,2025-12-03,2025-12-03T22:46:01+0100,,MAT,2025-12-04T00:05:00+0100,,ZD,
2305,2025-12-03,2025-12-03T05:10:20+0100,,NW S42,2025-12-03T06:19:00+0100,,NBN,
2314,2025-12-03,2025-12-03T07:47:06+0100,,NBN,2025-12-03T08:50:53+0100,,NW H3,
4900,2025-12-03,2025-12-03T08:09:57+0100,,STTS11,2025-12-03T08:36:50+0100,,GU Z2,
5410,2025-12-03,2025-12-03T10:06:37+0100,,SETH1,2025-12-03T10:25:00+0100,,MW,
5868,2025-12-03,2025-12-03T12:35:22+0100,,BRO,2025-12-03T13:50:12+0100,,SBF,
20119,2025-12-03,2025-12-03T09:01:42+0100,,HF H4,2025-12-03T09:16:53+0100,,OW,
20126,2025-12-03,2025-12-03T11:12:52+0100,,OW,2025-12-03T11:27:42+0100,,HF H4,
20131,2025-12-03,2025-12-03T12:01:42+0100,,HF H4,2025-12-03T12:16:53+0100,,OW,
20540,2025-12-03,2025-12-03T07:50:24+0100,,WV,2025-12-03T08:15:29+0100,,HFG,
20547,2025-12-03,2025-12-03T08:21:30+0100,,HFG,2025-12-03T08:45:44+0100,,WV,
20554,2025-12-03,2025-12-03T09:00:24+0100,,WV,2025-12-03T09:25:29+0100,,HFG,
20574,2025-12-03,2025-12-03T10:40:24+0100,,WV,2025-12-03T11:05:29+0100,,HFG,
20576,2025-12-03,2025-12-03T10:50:24+0100,,WV,2025-12-03T11:15:29+0100,,HFG,
23042,2025-12-03,2025-12-03T01:05:01+0100,,MAT,2025-12-03T01:28:10+0100,,F,
23062,2025-12-03,2025-12-03T01:33:30+0100,,MI,2025-12-03T01:58:10+0100,,F,
24386,2025-12-03,2025-12-03T09:24:30+0100,,BU,2025-12-03T10:23:38+0100,,GEFS31,
25027,2025-12-03,2025-12-03T11:13:00+0100,,STC,2025-12-03T11:50:36+0100,,HFG,
25039,2025-12-03,2025-12-03T14:13:00+0100,,STC,2025-12-03T14:50:36+0100,,HFG,
29009,2025-12-03,2025-12-03T00:24:20+0100,,DOK,2025-12-03T00:37:57+0100,,MAT,
29266,2025-12-03,2025-12-03T06:21:30+0100,,MD,2025-12-03T07:02:40+0100,,NW H3,
93343,2025-12-03,2025-12-03T18:27:35+0100,,KAS,2025-12-03T18:34:55+0100,,GZS,
290,2025-12-04,2025-12-04T06:52:00+0100,,LIR,2025-12-04T07:07:14+0100,,XSMT,
1290,2025-12-04,2025-12-04T08:02:00+0100,,SBJ,2025-12-04T08:06:00+0100,,MFL,
1291,2025-12-04,2025-12-04T21:55:00+0100,,MFL,2025-12-04T22:00:32+0100,,SBJ,
1296,2025-12-04,2025-12-04T05:45:30+0100,,SBJ,2025-12-04T05:49:30+0100,,MFL,
1298,2025-12-04,2025-12-04T07:09:41+0100,,SBJ,2025-12-04T07:14:30+0100,,MFL,
1299,2025-12-04,2025-12-04T20:54:00+0100,,MFL,2025-12-04T20:59:14+0100,,SBJ,
2315,2025-12-04,2025-12-04T06:34:15+0100,,BEH,2025-12-04T08:45:54+0100,,NBN,
2563,2025-12-04,2025-12-04T10:27:30+0100,,SFLH1,2025-12-04T11:13:01+0100,,OF,
2805,2025-12-04,2025-12-04T05:23:21+0100,,KRV,2025-12-04T06:27:00+0100,,WF H1,
3117,2025-12-04,2025-12-04T08:56:00+0100,,OTTH1,2025-12-04T09:09:00+0100,,UF H1,
3154,2025-12-04,2025-12-04T18:05:00+0100,,UF H1,2025-12-04T18:17:30+0100,,OTTH1,
5506,2025-12-04,2025-12-04T07:41:00+0100,,GRO,2025-12-04T08:37:30+0100,,VI,
6703,2025-12-04,2025-12-04T05:14:03+0100,,SHRH1,2025-12-04T05:50:30+0100,,PL,
20010,2025-12-04,2025-12-04T06:57:52+0100,,OW,2025-12-04T07:37:30+0100,,RW H1,
20017,2025-12-04,2025-12-04T07:52:00+0100,,RW H1,2025-12-04T08:31:53+0100,,OW,
20102,2025-12-04,2025-12-04T05:12:52+0100,,OW,2025-12-04T05:36:17+0100,,UP S31,
20104,2025-12-04,2025-12-04T05:42:52+0100,,OW,2025-12-04T06:06:17+0100,,UP S31,
20107,2025-12-04,2025-12-04T05:52:38+0100,,UP S32,2025-12-04T06:16:53+0100,,OW,
20109,2025-12-04,2025-12-04T06:22:38+0100,,UP S32,2025-12-04T06:46:53+0100,,OW,
20633,2025-12-04,2025-12-04T15:31:30+0100,,HFG,2025-12-04T15:55:44+0100,,WV,
20640,2025-12-04,2025-12-04T16:10:24+0100,,WV,2025-12-04T16:35:29+0100,,HFG,
20646,2025-12-04,2025-12-04T16:40:24+0100,,WV,2025-12-04T17:05:29+0100,,HFG,
20653,2025-12-04,2025-12-04T17:11:30+0100,,HFG,2025-12-04T17:35:44+0100,,WV,
23664,2025-12-04,2025-12-04T16:38:01+0100,,MAT,2025-12-04T17:39:26+0100,,ON,
25077,2025-12-04,2025-12-04T23:44:00+0100,,STC,2025-12-05T00:20:36+0100,,HFG,
93313,2025-12-04,2025-12-04T11:57:00+0100,,Z,2025-12-04T11:57:00+0100,,Z,
93314,2025-12-04,2025-12-04T12:02:00+0100,,Z,2025-12-04T12:02:00+0100,,Z,
347,2025-12-05,2025-12-05T19:43:59+0100,,OF,2025-12-05T20:21:16+0100,,XHHE,
566,2025-12-05,2025-12-05T13:04:08+0100,,KLSS22,2025-12-05T13:17:30+0100,,WBF,
1298,2025-12-05,2025-12-05T07:09:41+0100,,SBJ,2025-12-05T07:14:30+0100,,MFL,
1617,2025-12-05,2025-12-05T08:51:01+0100,,WATS96,2025-12-05T09:54:26+0100,,OW,
4272,2025-12-05,2025-12-05T08:51:45+0100,,VBO,2025-12-05T09:23:24+0100,,KT H1,
4273,2025-12-05,2025-12-05T08:34:42+0100,,KT H1,2025-12-05T09:07:35+0100,,VBO,
4277,2025-12-05,2025-12-05T10:34:42+0100,,KT H1,2025-12-05T11:07:35+0100,,VBO,
5545,2025-12-05,2025-12-05T19:36:00+0100,,PFS,2025-12-05T19:55:00+0100,,RT H1,
19048,2025-12-05,2025-12-05T01:04:06+0100,,LGF,2025-12-05T02:09:40+0100,,STRS21,
20530,2025-12-05,2025-12-05T07:00:24+0100,,WV,2025-12-05T07:25:29+0100,,HFG,
20536,2025-12-05,2025-12-05T07:30:24+0100,,WV,2025-12-05T07:55:29+0100,,HFG,
20537,2025-12-05,2025-12-05T07:31:30+0100,,HFG,2025-12-05T07:55:44+0100,,WV,
20542,2025-12-05,2025-12-05T08:00:24+0100,,WV,2025-12-05T08:25:29+0100,,HFG,
20543,2025-12-05,2025-12-05T08:01:30+0100,,HFG,2025-12-05T08:25:44+0100,,WV,
20546,2025-12-05,2025-12-05T08:20:24+0100,,WV,2025-12-05T08:45:29+0100,,HFG,
20548,2025-12-05,2025-12-05T08:30:24+0100,,WV,2025-12-05T08:55:29+0100,,HFG,
20549,2025-12-05,2025-12-05T08:31:30+0100,,HFG,2025-12-05T08:55:44+0100,,WV,
20553,2025-12-05,2025-12-05T08:51:30+0100,,HFG,2025-12-05T09:15:44+0100,,WV,
20554,2025-12-05,2025-12-05T09:00:24+0100,,WV,2025-12-05T09:25:29+0100,,HFG,
20555,2025-12-05,2025-12-05T09:01:30+0100,,HFG,2025-12-05T09:25:44+0100,,WV,
20560,2025-12-05,2025-12-05T09:30:24+0100,,WV,2025-12-05T09:55:29+0100,,HFG,
20561,2025-12-05,2025-12-05T09:31:30+0100,,HFG,2025-12-05T09:55:44+0100,,WV,
20562,2025-12-05,2025-12-05T09:40:24+0100,,WV,2025-12-05T10:05:29+0100,,HFG,
20567,2025-12-05,2025-12-05T10:01:30+0100,,HFG,2025-12-05T10:25:44+0100,,WV,
20568,2025-12-05,2025-12-05T10:10:24+0100,,WV,2025-12-05T10:35:29+0100,,HFG,
20575,2025-12-05,2025-12-05T10:41:30+0100,,HFG,2025-12-05T11:05:44+0100,,WV,
26061,2025-12-05,2025-12-05T16:37:05+0100,,NBN,2025-12-05T18:28:48+0100,,BLS,
27249,2025-12-05,2025-12-05T06:16:16+0100,,NW S42,2025-12-05T07:40:01+0100,,HAIH2,
29266,2025-12-05,2025-12-05T06:21:30+0100,,MD,2025-12-05T07:02:40+0100,,NW H3,
29352,2025-12-05,2025-12-05T08:02:46+0100,,HAIH2,2025-12-05T09:11:50+0100,,NW H3,
29408,2025-12-05,2025-12-05T10:16:01+0100,,MAT,2025-12-05T10:37:50+0100,,NW H3,
29801,2025-12-05,2025-12-05T19:35:47+0100,,KO A1A,2025-12-05T20:34:30+0100,,LGF,
196,2025-12-06,2025-12-06T10:52:00+0100,,LIR,2025-12-06T11:07:14+0100,,XSMT,
290,2025-12-06,2025-12-06T06:52:00+0100,,LIR,2025-12-06T07:07:14+0100,,XSMT,
1526,2025-12-06,2025-12-06T19:16:00+0100,,SWAS11,2025-12-06T21:05:18+0100,,HP U1,
2510,2025-12-06,2025-12-06T09:15:08+0100,,OF,2025-12-06T09:52:37+0100,,XYDNV,
2513,2025-12-06,2025-12-06T11:03:00+0100,,DNV,2025-12-06T11:45:08+0100,,OF,
5432,2025-12-06,2025-12-06T20:06:37+0100,,SETH1,2025-12-06T20:25:00+0100,,MW,
5901,2025-12-06,2025-12-06T03:59:27+0100,,SCE,2025-12-06T05:17:39+0100,,LZW,
6599,2025-12-06,2025-12-06T22:26:27+0100,,MLX,2025-12-06T22:59:10+0100,,NBN,
7112,2025-12-06,2025-12-06T06:37:35+0100,,HKAG,2025-12-06T07:23:09+0100,,NGG,
7693,2025-12-06,2025-12-06T19:31:34+0100,,HKAG,2025-12-06T19:35:00+0100,,ASO,
7804,2025-12-06,2025-12-06T07:19:30+0100,,WUL,2025-12-06T07:21:30+0100,,WULH1H,
7806,2025-12-06,2025-12-06T08:19:30+0100,,WUL,2025-12-06T08:21:30+0100,,WULH1H,
7807,2025-12-06,2025-12-06T06:35:43+0100,,WULH1H,2025-12-06T06:37:30+0100,,WUL,
7808,2025-12-06,2025-12-06T09:19:30+0100,,WUL,2025-12-06T09:21:30+0100,,WULH1H,
7809,2025-12-06,2025-12-06T07:35:43+0100,,WULH1H,2025-12-06T07:37:30+0100,,WUL,
7810,2025-12-06,2025-12-06T10:19:30+0100,,WUL,2025-12-06T10:21:30+0100,,WULH1H,
7811,2025-12-06,2025-12-06T08:35:43+0100,,WULH1H,2025-12-06T08:37:30+0100,,WUL,
7812,2025-12-06,2025-12-06T11:19:30+0100,,WUL,2025-12-06T11:21:30+0100,,WULH1H,
7813,2025-12-06,2025-12-06T09:35:43+0100,,WULH1H,2025-12-06T09:37:30+0100,,WUL,
7814,2025-12-06,2025-12-06T12:19:30+0100,,WUL,2025-12-06T12:21:30+0100,,WULH1H,
7815,2025-12-06,2025-12-06T10:35:43+0100,,WULH1H,2025-12-06T10:37:30+0100,,WUL,
7816,2025-12-06,2025-12-06T13:19:30+0100,,WUL,2025-12-06T13:21:30+0100,,WULH1H,
7817,2025-12-06,2025-12-06T11:35:43+0100,,WULH1H,2025-12-06T11:37:30+0100,,WUL,
7818,2025-12-06,2025-12-06T14:19:30+0100,,WUL,2025-12-06T14:21:30+0100,,WULH1H,
7819,2025-12-06,2025-12-06T12:35:43+0100,,WULH1H,2025-12-06T12:37:30+0100,,WUL,
7820,2025-12-06,2025-12-06T15:19:30+0100,,WUL,2025-12-06T15:21:30+0100,,WULH1H,
7821,2025-12-06,2025-12-06T13:35:43+0100,,WULH1H,2025-12-06T13:37:30+0100,,WUL,
7822,2025-12-06,2025-12-06T16:19:30+0100,,WUL,2025-12-06T16:21:30+0100,,WULH1H,
7823,2025-12-06,2025-12-06T14:35:43+0100,,WULH1H,2025-12-06T14:37:30+0100,,WUL,
7824,2025-12-06,2025-12-06T17:19:30+0100,,WUL,2025-12-06T17:21:30+0100,,WULH1H,
7825,2025-12-06,2025-12-06T15:35:43+0100,,WULH1H,2025-12-06T15:37:30+0100,,WUL,
7826,2025-12-06,2025-12-06T18:19:30+0100,,WUL,2025-12-06T18:21:30+0100,,WULH1H,
7827,2025-12-06,2025-12-06T16:35:43+0100,,WULH1H,2025-12-06T16:37:30+0100,,WUL,
7828,2025-12-06,2025-12-06T19:19:30+0100,,WUL,2025-12-06T19:21:30+0100,,WULH1H,
7829,2025-12-06,2025-12-06T17:35:43+0100,,WULH1H,2025-12-06T17:37:30+0100,,WUL,
7830,2025-12-06,2025-12-06T20:19:30+0100,,WUL,2025-12-06T20:21:30+0100,,WULH1H,
7831,2025-12-06,2025-12-06T18:35:43+0100,,WULH1H,2025-12-06T18:37:30+0100,,WUL,
7832,2025-12-06,2025-12-06T21:19:30+0100,,WUL,2025-12-06T21:21:30+0100,,WULH1H,
7833,2025-12-06,2025-12-06T19:35:43+0100,,WULH1H,2025-12-06T19:37:30+0100,,WUL,
7834,2025-12-06,2025-12-06T22:19:30+0100,,WUL,2025-12-06T22:21:30+0100,,WULH1H,
7835,2025-12-06,2025-12-06T20:35:43+0100,,WULH1H,2025-12-06T20:37:30+0100,,WUL,
7836,2025-12-06,2025-12-06T23:19:30+0100,,WUL,2025-12-06T23:21:30+0100,,WULH1H,
7837,2025-12-06,2025-12-06T21:35:43+0100,,WULH1H,2025-12-06T21:37:30+0100,,WUL,
7838,2025-12-06,2025-12-07T00:19:30+0100,,WUL,2025-12-07T00:21:30+0100,,WULH1H,
7839,2025-12-06,2025-12-06T22:35:43+0100,,WULH1H,2025-12-06T22:37:30+0100,,WUL,
8623,2025-12-06,2025-12-06T09:17:00+0100,,GLD,2025-12-06T09:35:23+0100,,XAWI,
20547,2025-12-06,2025-12-06T08:21:30+0100,,HFG,2025-12-06T08:45:44+0100,,WV,
20554,2025-12-06,2025-12-06T09:00:24+0100,,WV,2025-12-06T09:25:29+0100,,HFG,
20965,2025-12-06,2025-12-06T20:45:30+0100,,HFG,2025-12-06T21:08:44+0100,,WV,
20968,2025-12-06,2025-12-06T21:16:23+0100,,WV,2025-12-06T21:39:27+0100,,HFG,
26071,2025-12-06,2025-12-06T20:21:00+0100,,WBF,2025-12-06T20:58:48+0100,,BLS,
27185,2025-12-06,2025-12-06T04:32:47+0100,,BSE,2025-12-06T05:09:49+0100,,KLSS21,
29181,2025-12-06,2025-12-06T04:31:16+0100,,NW S42,2025-12-06T04:53:57+0100,,MAT,
29220,2025-12-06,2025-12-06T05:20:50+0100,,KLSS22,2025-12-06T05:53:40+0100,,NW H3,
29273,2025-12-06,2025-12-06T06:49:52+0100,,NW S42,2025-12-06T07:12:27+0100,,MAT,
1299,2025-12-07,2025-12-07T20:54:00+0100,,MFL,2025-12-07T20:59:14+0100,,SBJ,
2338,2025-12-07,2025-12-07T13:40:18+0100,,NBN,2025-12-07T14:49:10+0100,,F,
3961,2025-12-07,2025-12-07T15:36:59+0100,,LZW,2025-12-07T16:30:31+0100,,WAKZ3,
3972,2025-12-07,2025-12-07T17:26:58+0100,,WAKZ3,2025-12-07T18:23:23+0100,,LZW,
5018,2025-12-07,2025-12-07T09:05:22+0100,,Z  A1,2025-12-07T10:34:09+0100,,HP U1,
5432,2025-12-07,2025-12-07T20:06:37+0100,,SETH1,2025-12-07T20:25:00+0100,,MW,
5980,2025-12-07,2025-12-07T17:42:30+0100,,BRU,2025-12-07T17:43:31+0100,,XDMXS,
5981,2025-12-07,2025-12-07T17:18:00+0100,,SM,2025-12-07T19:08:44+0100,,LZW,
6619,2025-12-07,2025-12-07T17:12:00+0100,,HN H1,2025-12-07T17:50:30+0100,,PL,
7467,2025-12-07,2025-12-07T14:06:39+0100,,TI K1,2025-12-07T14:32:42+0100,,NBN,
7693,2025-12-07,2025-12-07T19:31:34+0100,,HKAG,2025-12-07T19:35:00+0100,,ASO,
7803,2025-12-07,2025-12-07T04:35:43+0100,,WULH1H,2025-12-07T04:37:30+0100,,WUL,
7804,2025-12-07,2025-12-07T07:19:30+0100,,WUL,2025-12-07T07:21:30+0100,,WULH1H,
7805,2025-12-07,2025-12-07T05:35:43+0100,,WULH1H,2025-12-07T05:37:30+0100,,WUL,
7806,2025-12-07,2025-12-07T08:19:30+0100,,WUL,2025-12-07T08:21:30+0100,,WULH1H,
7807,2025-12-07,2025-12-07T06:35:43+0100,,WULH1H,2025-12-07T06:37:30+0100,,WUL,
7808,2025-12-07,2025-12-07T09:19:30+0100,,WUL,2025-12-07T09:21:30+0100,,WULH1H,
7809,2025-12-07,2025-12-07T07:35:43+0100,,WULH1H,2025-12-07T07:37:30+0100,,WUL,
7810,2025-12-07,2025-12-07T10:19:30+0100,,WUL,2025-12-07T10:21:30+0100,,WULH1H,
7811,2025-12-07,2025-12-07T08:35:43+0100,,WULH1H,2025-12-07T08:37:30+0100,,WUL,
7812,2025-12-07,2025-12-07T11:19:30+0100,,WUL,2025-12-07T11:21:30+0100,,WULH1H,
7813,2025-12-07,2025-12-07T09:35:43+0100,,WULH1H,2025-12-07T09:37:30+0100,,WUL,
7814,2025-12-07,2025-12-07T12:19:30+0100,,WUL,2025-12-07T12:21:30+0100,,WULH1H,
7815,2025-12-07,2025-12-07T10:35:43+0100,,WULH1H,2025-12-07T10:37:30+0100,,WUL,
7816,2025-12-07,2025-12-07T13:19:30+0100,,WUL,2025-12-07T13:21:30+0100,,WULH1H,
7817,2025-12-07,2025-12-07T11:35:43+0100,,WULH1H,2025-12-07T11:37:30+0100,,WUL,
7818,2025-12-07,2025-12-07T14:19:30+0100,,WUL,2025-12-07T14:21:30+0100,,WULH1H,
7819,2025-12-07,2025-12-07T12:35:43+0100,,WULH1H,2025-12-07T12:37:30+0100,,WUL,
7820,2025-12-07,2025-12-07T15:19:30+0100,,WUL,2025-12-07T15:21:30+0100,,WULH1H,
7821,2025-12-07,2025-12-07T13:35:43+0100,,WULH1H,2025-12-07T13:37:30+0100,,WUL,
7822,2025-12-07,2025-12-07T16:19:30+0100,,WUL,2025-12-07T16:21:30+0100,,WULH1H,
7823,2025-12-07,2025-12-07T14:35:43+0100,,WULH1H,2025-12-07T14:37:30+0100,,WUL,
7824,2025-12-07,2025-12-07T17:19:30+0100,,WUL,2025-12-07T17:21:30+0100,,WULH1H,
7825,2025-12-07,2025-12-07T15:35:43+0100,,WULH1H,2025-12-07T15:37:30+0100,,WUL,
7826,2025-12-07,2025-12-07T18:19:30+0100,,WUL,2025-12-07T18:21:30+0100,,WULH1H,
7827,2025-12-07,2025-12-07T16:35:43+0100,,WULH1H,2025-12-07T16:37:30+0100,,WUL,
7828,2025-12-07,2025-12-07T19:19:30+0100,,WUL,2025-12-07T19:21:30+0100,,WULH1H,
7829,2025-12-07,2025-12-07T17:35:43+0100,,WULH1H,2025-12-07T17:37:30+0100,,WUL,
7830,2025-12-07,2025-12-07T20:19:30+0100,,WUL,2025-12-07T20:21:30+0100,,WULH1H,
7831,2025-12-07,2025-12-07T18:35:43+0100,,WULH1H,2025-12-07T18:37:30+0100,,WUL,
7832,2025-12-07,2025-12-07T21:19:30+0100,,WUL,2025-12-07T21:21:30+0100,,WULH1H,
7833,2025-12-07,2025-12-07T19:35:43+0100,,WULH1H,2025-12-07T19:37:30+0100,,WUL,
7834,2025-12-07,2025-12-07T22:19:30+0100,,WUL,2025-12-07T22:21:30+0100,,WULH1H,
7835,2025-12-07,2025-12-07T20:35:43+0100,,WULH1H,2025-12-07T20:37:30+0100,,WUL,
7836,2025-12-07,2025-12-07T23:19:30+0100,,WUL,2025-12-07T23:21:30+0100,,WULH1H,
7837,2025-12-07,2025-12-07T21:35:43+0100,,WULH1H,2025-12-07T21:37:30+0100,,WUL,
7838,2025-12-07,2025-12-08T00:19:30+0100,,WUL,2025-12-08T00:21:30+0100,,WULH1H,
7839,2025-12-07,2025-12-07T22:35:43+0100,,WULH1H,2025-12-07T22:37:30+0100,,WUL,
7840,2025-12-07,2025-12-07T01:21:30+0100,,WUL,2025-12-07T01:23:30+0100,,WULH1H,
20108,2025-12-07,2025-12-07T06:42:52+0100,,OW,2025-12-07T06:59:30+0100,,UP,
