zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta
289,2025-12-01,2025-12-01T21:23:22+0100,,MKI,2025-12-01T22:12:03+0100,,H  H3,
724,2025-12-01,2025-12-01T17:42:42+0100,,MLX,2025-12-01T18:58:18+0100,,SPWS51,
1290,2025-12-01,2025-12-01T08:02:00+0100,,SBJ,2025-12-01T08:06:00+0100,,MFL,
1291,2025-12-01,2025-12-01T21:55:00+0100,,MFL,2025-12-01T22:00:32+0100,,SBJ,
1296,2025-12-01,2025-12-01T05:45:30+0100,,SBJ,2025-12-01T05:49:30+0100,,MFL,
1298,2025-12-01,2025-12-01T07:09:41+0100,,SBJ,2025-12-01T07:14:30+0100,,MFL,
1299,2025-12-01,2025-12-01T20:54:00+0100,,MFL,2025-12-01T20:59:14+0100,,SBJ,
1648,2025-12-01,2025-12-01T16:24:26+0100,,OW,2025-12-01T17:22:22+0100,,WATS95,
1653,2025-12-01,2025-12-01T17:51:01+0100,,WATS96,2025-12-01T18:54:26+0100,,OW,
1665,2025-12-01,2025-12-01T20:51:01+0100,,WATS96,2025-12-01T21:54:26+0100,,OW,
2259,2025-12-01,2025-12-01T18:49:51+0100,,NW S42,2025-12-01T19:49:06+0100,,NBN,
2313,2025-12-01,2025-12-01T05:57:30+0100,,BA,2025-12-01T08:19:00+0100,,NBN,
2344,2025-12-01,2025-12-01T15:12:36+0100,,NBN,2025-12-01T17:24:24+0100,,XCBA,
2345,2025-12-01,2025-12-01T15:10:21+0100,,NW S42,2025-12-01T16:19:00+0100,,NBN,
2654,2025-12-01,2025-12-01T17:31:36+0100,,ESU,2025-12-01T18:40:58+0100,,OF,
2867,2025-12-01,2025-12-01T20:53:40+0100,,KRV,2025-12-01T21:54:00+0100,,WF H1,
2874,2025-12-01,2025-12-01T23:03:00+0100,,WF H1,2025-12-02T00:06:00+0100,,KRV,
6005,2025-12-01,2025-12-01T05:41:03+0100,,VN H1,2025-12-01T06:13:30+0100,,FH,
6006,2025-12-01,2025-12-01T06:46:00+0100,,KR,2025-12-01T07:20:36+0100,,VN H1,
7810,2025-12-01,2025-12-01T10:19:30+0100,,WUL,2025-12-01T10:21:30+0100,,WULH1H,
7815,2025-12-01,2025-12-01T10:35:43+0100,,WULH1H,2025-12-01T10:37:30+0100,,WUL,
7872,2025-12-01,2025-12-01T17:00:30+0100,,WUL,2025-12-01T17:02:06+0100,,WULH1H,
19350,2025-12-01,2025-12-01T16:40:18+0100,,NBN,2025-12-01T18:44:25+0100,,BEL,
20512,2025-12-01,2025-12-01T05:30:24+0100,,WV,2025-12-01T05:55:29+0100,,HFG,
20519,2025-12-01,2025-12-01T06:01:30+0100,,HFG,2025-12-01T06:25:44+0100,,WV,
22362,2025-12-01,2025-12-01T08:55:06+0100,,LGF,2025-12-01T09:43:45+0100,,F  S21,
22402,2025-12-01,2025-12-01T09:55:06+0100,,LGF,2025-12-01T10:43:46+0100,,F  S21,
22422,2025-12-01,2025-12-01T10:25:06+0100,,LGF,2025-12-01T11:13:46+0100,,F  S21,
29381,2025-12-01,2025-12-01T09:14:58+0100,,F  S22,2025-12-01T10:04:30+0100,,LGF,
29421,2025-12-01,2025-12-01T10:14:58+0100,,F  S22,2025-12-01T11:04:30+0100,,LGF,
29461,2025-12-01,2025-12-01T11:14:58+0100,,F  S22,2025-12-01T12:04:30+0100,,LGF,
29563,2025-12-01,2025-12-01T14:04:18+0100,,NW S42,2025-12-01T14:26:57+0100,,MAT,
93320,2025-12-01,2025-12-01T15:02:00+0100,,Z,2025-12-01T15:02:00+0100,,Z,
1290,2025-12-02,2025-12-02T08:02:00+0100,,SBJ,2025-12-02T08:06:00+0100,,MFL,
1291,2025-12-02,2025-12-02T21:55:00+0100,,MFL,2025-12-02T22:00:32+0100,,SBJ,
1296,2025-12-02,2025-12-02T05:45:30+0100,,SBJ,2025-12-02T05:49:30+0100,,MFL,
1298,2025-12-02,2025-12-02T07:09:41+0100,,SBJ,2025-12-02T07:14:30+0100,,MFL,
1299,2025-12-02,2025-12-02T20:54:00+0100,,MFL,2025-12-02T20:59:14+0100,,SBJ,
2251,2025-12-02,2025-12-02T16:49:51+0100,,NW S42,2025-12-02T17:49:06+0100,,NBN,
2315,2025-12-02,2025-12-02T06:34:15+0100,,BEH,2025-12-02T08:45:54+0100,,NBN,
5588,2025-12-02,2025-12-02T17:48:29+0100,,FK H1,2025-12-02T18:28:00+0100,,LIR,
5589,2025-12-02,2025-12-02T17:22:00+0100,,L,2025-12-02T18:09:49+0100,,FK H1,
5682,2025-12-02,2025-12-02T20:41:30+0100,,B  S11,2025-12-02T21:41:00+0100,,LATH1,
7776,2025-12-02,2025-12-02T23:16:00+0100,,PTA,2025-12-03T00:13:29+0100,,OF,
8648,2025-12-02,2025-12-02T07:51:00+0100,,GLDZ9,2025-12-02T08:08:57+0100,,GLDG,
8649,2025-12-02,2025-12-02T08:17:39+0100,,GLDG,2025-12-02T08:35:22+0100,,XAWI,
21023,2025-12-02,2025-12-02T08:15:00+0100,,VN H1,2025-12-02T10:15:40+0100,,WF H1,
25854,2025-12-02,2025-12-02T12:54:05+0100,,FK H1,2025-12-02T13:36:50+0100,,XSMT,
25855,2025-12-02,2025-12-02T13:45:00+0100,,MT,2025-12-02T14:31:10+0100,,FK H1,
25856,2025-12-02,2025-12-02T13:54:05+0100,,FK H1,2025-12-02T14:36:50+0100,,XSMT,
25857,2025-12-02,2025-12-02T14:45:00+0100,,MT,2025-12-02T15:31:10+0100,,FK H1,
25858,2025-12-02,2025-12-02T14:54:05+0100,,FK H1,2025-12-02T15:36:50+0100,,XSMT,
25859,2025-12-02,2025-12-02T15:45:00+0100,,MT,2025-12-02T16:04:30+0100,,DO H1,
25860,2025-12-02,2025-12-02T15:54:05+0100,,FK H1,2025-12-02T16:36:50+0100,,XSMT,
25861,2025-12-02,2025-12-02T16:45:00+0100,,MT,2025-12-02T17:04:30+0100,,DO H1,
25862,2025-12-02,2025-12-02T16:54:05+0100,,FK H1,2025-12-02T17:36:50+0100,,XSMT,
25863,2025-12-02,2025-12-02T17:45:00+0100,,MT,2025-12-02T18:31:10+0100,,FK H1,
25864,2025-12-02,2025-12-02T17:54:05+0100,,FK H1,2025-12-02T18:36:50+0100,,XSMT,
25874,2025-12-02,2025-12-02T16:44:58+0100,,DO H1,2025-12-02T16:53:00+0100,,LATH1,
25876,2025-12-02,2025-12-02T17:14:58+0100,,DO H1,2025-12-02T17:26:00+0100,,BG,
25879,2025-12-02,2025-12-02T17:05:29+0100,,WO S12,2025-12-02T17:34:57+0100,,FK H1,
29019,2025-12-02,2025-12-03T00:36:14+0100,,NW,2025-12-03T00:50:57+0100,,MAT,
897,2025-12-03,2025-12-03T10:31:00+0100,,LIR,2025-12-03T10:36:52+0100,,BG H1,
1290,2025-12-03,2025-12-03T08:02:00+0100,,SBJ,2025-12-03T08:06:00+0100,,MFL,
1291,2025-12-03,2025-12-03T21:55:00+0100,,MFL,2025-12-03T22:00:32+0100,,SBJ,
1296,2025-12-03,2025-12-03T05:45:30+0100,,SBJ,2025-12-03T05:49:30+0100,,MFL,
1298,2025-12-03,2025-12-03T07:09:41+0100,,SBJ,2025-12-03T07:14:30+0100,,MFL,
1299,2025-12-03,2025-12-03T20:54:00+0100,,MFL,2025-12-03T20:59:14+0100,,SBJ,
