zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta
1608,2025-12-15,2025-12-15T06:24:42+0100,,OW,2025-12-15T07:22:21+0100,,WATS95,
1613,2025-12-15,2025-12-15T07:37:57+0100,,WATS96,2025-12-15T08:35:47+0100,,OW,
1634,2025-12-15,2025-12-15T12:54:42+0100,,OW,2025-12-15T13:52:21+0100,,WATS95,
1639,2025-12-15,2025-12-15T14:07:57+0100,,WATS96,2025-12-15T15:05:47+0100,,OW,
2180,2025-12-15,2025-12-15T18:02:00+0100,,WF H1,2025-12-15T19:09:16+0100,,EGGS11,
2259,2025-12-15,2025-12-15T18:50:21+0100,,NW S32,2025-12-15T19:48:54+0100,,NBN,
2361,2025-12-15,2025-12-15T19:10:52+0100,,NW S32,2025-12-15T20:16:42+0100,,NBN,
4375,2025-12-15,2025-12-15T17:38:54+0100,,GZS,2025-12-15T18:39:06+0100,,BGLH2,
4377,2025-12-15,2025-12-15T18:37:54+0100,,GZS,2025-12-15T19:39:06+0100,,BGLH2,
6036,2025-12-15,2025-12-15T14:24:00+0100,,FH,2025-12-15T14:51:43+0100,,VN H1,
6037,2025-12-15,2025-12-15T13:40:55+0100,,VN H1,2025-12-15T14:09:30+0100,,FH,
6041,2025-12-15,2025-12-15T15:08:05+0100,,VN H1,2025-12-15T15:37:00+0100,,FH,
6042,2025-12-15,2025-12-15T16:23:00+0100,,FH,2025-12-15T16:51:47+0100,,VN H1,
6049,2025-12-15,2025-12-15T17:08:05+0100,,VN H1,2025-12-15T17:37:00+0100,,FH,
6050,2025-12-15,2025-12-15T18:23:00+0100,,FH,2025-12-15T18:51:45+0100,,VN H1,
6335,2025-12-15,2025-12-15T22:18:39+0100,,SD H1,2025-12-15T22:48:12+0100,,HAL,
7007,2025-12-15,2025-12-15T05:14:12+0100,,PUSH2,2025-12-15T05:49:40+0100,,POEA1W,
7367,2025-12-15,2025-12-15T13:09:20+0100,,GZS,2025-12-15T14:09:06+0100,,BGLH2,
7372,2025-12-15,2025-12-15T14:49:57+0100,,BGLH2,2025-12-15T15:50:51+0100,,GZS,
7377,2025-12-15,2025-12-15T18:09:20+0100,,GZS,2025-12-15T19:09:06+0100,,BGLH2,
7382,2025-12-15,2025-12-15T19:49:57+0100,,BGLH2,2025-12-15T20:50:51+0100,,GZS,
7693,2025-12-15,2025-12-15T19:31:34+0100,,HKAG,2025-12-15T19:35:00+0100,,ASO,
7971,2025-12-15,2025-12-15T22:03:30+0100,,NS,2025-12-15T22:34:30+0100,,WAL,
8796,2025-12-15,2025-12-15T15:08:00+0100,,PG Z9,2025-12-15T15:34:15+0100,,GMI,
8797,2025-12-15,2025-12-15T17:55:09+0100,,GMI,2025-12-15T18:15:34+0100,,PG G,
20012,2025-12-15,2025-12-15T07:28:12+0100,,OW,2025-12-15T08:07:30+0100,,RW H1,
20110,2025-12-15,2025-12-15T07:13:12+0100,,OW,2025-12-15T07:36:17+0100,,UP S31,
20112,2025-12-15,2025-12-15T07:43:12+0100,,OW,2025-12-15T08:06:17+0100,,UP S31,
20115,2025-12-15,2025-12-15T07:52:38+0100,,UP S32,2025-12-15T08:16:53+0100,,OW,
20117,2025-12-15,2025-12-15T08:22:38+0100,,UP S32,2025-12-15T08:46:53+0100,,OW,
21093,2025-12-15,2025-12-15T08:50:06+0100,,TFDE2,2025-12-15T08:53:07+0100,,TUS,
21306,2025-12-15,2025-12-15T05:57:47+0100,,NF,2025-12-15T06:14:28+0100,,KZ S21,
21307,2025-12-15,2025-12-15T06:45:23+0100,,KZ H2,2025-12-15T07:01:42+0100,,NF,
27168,2025-12-15,2025-12-15T10:15:39+0100,,MAT,2025-12-15T10:37:03+0100,,NW S31,
27180,2025-12-15,2025-12-15T10:49:30+0100,,FWS,2025-12-15T11:23:04+0100,,NW S31,
28008,2025-12-15,2025-12-15T05:02:10+0100,,BSE,2025-12-15T06:09:39+0100,,TFDE2,
28020,2025-12-15,2025-12-15T07:37:38+0100,,HUI,2025-12-15T08:09:39+0100,,TFDE2,
28212,2025-12-15,2025-12-15T10:34:39+0100,,MAT,2025-12-15T11:13:45+0100,,F  S21,
28224,2025-12-15,2025-12-15T11:34:39+0100,,MAT,2025-12-15T12:13:46+0100,,F  S21,
28339,2025-12-15,2025-12-15T08:00:14+0100,,STRS22,2025-12-15T09:01:00+0100,,LGF,
28433,2025-12-15,2025-12-15T10:53:18+0100,,NW S32,2025-12-15T11:32:24+0100,,BU,
28441,2025-12-15,2025-12-15T10:44:58+0100,,F  S22,2025-12-15T11:23:57+0100,,MAT,
28971,2025-12-15,2025-12-15T06:49:50+0100,,TFDE2,2025-12-15T07:16:56+0100,,HUI,
92764,2025-12-15,2025-12-15T09:48:24+0100,,WV,2025-12-15T10:15:29+0100,,HFG,
1594,2025-12-16,2025-12-16T16:56:11+0100,,GMI,2025-12-16T18:15:18+0100,,MZS,
1607,2025-12-16,2025-12-16T06:07:57+0100,,WATS96,2025-12-16T07:05:47+0100,,OW,
1612,2025-12-16,2025-12-16T07:24:42+0100,,OW,2025-12-16T08:22:21+0100,,WATS95,
1617,2025-12-16,2025-12-16T08:37:57+0100,,WATS96,2025-12-16T09:35:47+0100,,OW,
1622,2025-12-16,2025-12-16T09:54:42+0100,,OW,2025-12-16T10:52:21+0100,,WATS95,
1784,2025-12-16,2025-12-16T15:51:10+0100,,LZW,2025-12-16T17:09:41+0100,,PAV,
2237,2025-12-16,2025-12-16T12:10:03+0100,,R  A1,2025-12-16T13:42:27+0100,,MAT,
2244,2025-12-16,2025-12-16T15:30:54+0100,,NBN,2025-12-16T17:44:41+0100,,ZD,
2255,2025-12-16,2025-12-16T17:50:22+0100,,NW S32,2025-12-16T18:48:54+0100,,NBN,
2264,2025-12-16,2025-12-16T21:15:39+0100,,MAT,2025-12-16T21:37:09+0100,,NW S31,
2341,2025-12-16,2025-12-16T14:10:52+0100,,NW S32,2025-12-16T15:16:42+0100,,NBN,
2663,2025-12-16,2025-12-16T19:19:28+0100,,OF,2025-12-16T20:25:40+0100,,ESU,
2812,2025-12-16,2025-12-16T07:32:00+0100,,WF H1,2025-12-16T08:36:00+0100,,KRV,
2819,2025-12-16,2025-12-16T08:53:40+0100,,KRV,2025-12-16T09:54:00+0100,,WF H1,
2891,2025-12-16,2025-12-16T06:15:21+0100,,KRV,2025-12-16T07:13:30+0100,,WF H1,
3672,2025-12-16,2025-12-16T17:09:00+0100,,GST,2025-12-16T18:01:22+0100,,KUES21,
3871,2025-12-16,2025-12-16T17:05:00+0100,,GA H1,2025-12-16T17:41:01+0100,,GL,
3881,2025-12-16,2025-12-16T16:40:44+0100,,GL,2025-12-16T16:40:44+0100,,GL,
3961,2025-12-16,2025-12-16T15:38:01+0100,,LZW,2025-12-16T16:32:00+0100,,WAKZ3,
3970,2025-12-16,2025-12-16T16:56:57+0100,,WAKZ3,2025-12-16T17:52:38+0100,,LZW,
5978,2025-12-16,2025-12-16T18:21:59+0100,,NEW,2025-12-16T19:09:31+0100,,XDMXS,
5985,2025-12-16,2025-12-16T19:18:00+0100,,SM,2025-12-16T21:09:09+0100,,LZW,
6506,2025-12-16,2025-12-16T06:07:00+0100,,PEMH1,2025-12-16T06:52:36+0100,,NBF,
6509,2025-12-16,2025-12-16T07:10:48+0100,,NBF,2025-12-16T08:10:30+0100,,PEMH1,
