zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta,abfahrt_verspaetung_min,ankunft_verspaetung_min
63,2025-11-24,2025-11-24T10:52:00+0100,2025-11-24T13:28:47+0100,MFL,2025-11-24T14:21:13+0100,2025-11-24T14:37:07+0100,NIFG,-02:20:53,156.78333333333333,15.9
81,2025-11-24,2025-11-24T08:31:08+0100,2025-11-24T09:31:47+0100,MKI,2025-11-24T10:00:51+0100,2025-11-24T11:06:50+0100,BE,00:05:20,60.65,65.98333333333333
115,2025-11-24,2025-11-24T15:12:00+0100,2025-11-24T16:31:24+0100,MKI,2025-11-24T19:57:47+0100,2025-11-24T20:35:31+0100,KT H1,-00:41:40,79.4,37.733333333333334
261,2025-11-24,2025-11-24T18:52:00+0100,2025-11-24T19:45:02+0100,MFL,2025-11-24T22:25:00+0100,2025-11-24T23:44:57+0100,HE,00:26:55,53.03333333333333,79.95
330,2025-11-24,2025-11-24T06:54:59+0100,2025-11-24T08:18:02+0100,GL,2025-11-24T08:00:00+0100,2025-11-24T09:21:09+0100,HDV,-00:01:54,83.05,81.15
660,2025-11-24,2025-11-24T08:57:11+0100,2025-11-24T09:26:39+0100,SBJ,2025-11-24T13:16:16+0100,2025-11-24T14:29:47+0100,LATH1,00:44:03,29.466666666666665,73.51666666666667
661,2025-11-24,2025-11-24T14:41:28+0100,2025-11-24T14:42:26+0100,WO S12,2025-11-24T21:56:06+0100,2025-11-24T23:12:12+0100,KLSS21,01:15:08,0.9666666666666667,76.1
1219,2025-11-24,2025-11-24T20:31:08+0100,2025-11-24T21:32:20+0100,MKI,2025-11-24T21:16:28+0100,2025-11-24T22:12:08+0100,H  H3,-00:05:32,61.2,55.666666666666664
1295,2025-11-24,2025-11-24T22:52:00+0100,2025-11-24T23:58:47+0100,MFL,2025-11-24T22:57:33+0100,2025-11-25T00:03:54+0100,SBJ,-00:00:26,66.78333333333333,66.35
30063,2025-11-24,2025-11-24T11:09:20+0100,2025-11-24T13:42:50+0100,HW Z3,2025-11-24T13:29:40+0100,2025-11-24T16:08:37+0100,MLX,00:05:27,153.5,158.95
23,2025-11-25,2025-11-25T12:29:00+0100,2025-11-25T15:01:44+0100,PA,2025-11-25T14:44:45+0100,2025-11-25T17:17:03+0100,MLX,-00:00:26,152.73333333333332,152.3
67,2025-11-25,2025-11-25T14:53:00+0100,2025-11-25T15:58:27+0100,SB G,2025-11-25T18:25:00+0100,2025-11-25T19:28:01+0100,HE,-00:02:26,65.45,63.016666666666666
91,2025-11-25,2025-11-25T14:29:00+0100,2025-11-25T15:47:13+0100,PA,2025-11-25T16:44:45+0100,2025-11-25T18:12:41+0100,MLX,00:09:43,78.21666666666667,87.93333333333334
109,2025-11-25,2025-11-25T20:47:00+0100,2025-11-25T21:54:00+0100,BPA,2025-11-25T22:08:47+0100,2025-11-25T23:20:35+0100,OW,00:04:48,67.0,71.8
144,2025-11-25,2025-11-25T14:32:30+0100,2025-11-25T15:33:32+0100,HE,2025-11-25T15:18:20+0100,2025-11-25T16:20:45+0100,OF,00:01:23,61.03333333333333,62.416666666666664
