zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta,abfahrt_verspaetung_min,ankunft_verspaetung_min
5865,2025-12-09,2025-12-09T12:09:10+0100,2025-12-09T12:10:51+0100,SBF,2025-12-09T13:21:01+0100,2025-12-09T14:25:46+0100,BRO,01:03:04,1.6833333333333333,64.75
7708,2025-12-09,2025-12-09T06:14:06+0100,2025-12-09T07:37:44+0100,KTTG,2025-12-09T07:13:29+0100,2025-12-09T08:28:32+0100,OF,-00:08:35,83.63333333333334,75.05
27,2025-12-10,2025-12-10T16:22:54+0100,2025-12-10T18:00:12+0100,PAG,2025-12-10T18:44:45+0100,2025-12-10T20:15:16+0100,MLX,-00:06:47,97.3,90.51666666666667
198,2025-12-10,2025-12-10T08:52:00+0100,2025-12-10T09:36:27+0100,LIR,2025-12-10T09:09:00+0100,2025-12-10T10:10:06+0100,MT,00:16:39,44.45,61.1
219,2025-12-10,2025-12-10T17:52:00+0100,2025-12-10T18:54:00+0100,MFL,2025-12-10T22:13:02+0100,2025-12-10T23:07:08+0100,GMI,-00:07:54,62.0,54.1
495,2025-12-10,2025-12-10T08:19:24+0100,2025-12-10T08:54:30+0100,PAG,2025-12-10T10:49:14+0100,2025-12-10T11:53:54+0100,MLX,00:29:34,35.1,64.66666666666667
848,2025-12-10,2025-12-10T04:57:00+0100,2025-12-10T06:12:38+0100,MLX,2025-12-10T07:49:30+0100,2025-12-10T09:50:20+0100,HW Z3,00:45:12,75.63333333333334,120.83333333333333
1777,2025-12-10,2025-12-10T06:26:43+0100,2025-12-10T06:27:06+0100,PAV,2025-12-10T07:45:33+0100,2025-12-10T10:10:21+0100,LZW,02:24:25,0.38333333333333336,144.8
2658,2025-12-10,2025-12-10T18:31:36+0100,2025-12-10T18:31:51+0100,ESU,2025-12-10T19:12:35+0100,2025-12-10T20:33:31+0100,UR,01:20:41,0.25,80.93333333333334
27,2025-12-11,2025-12-11T16:22:54+0100,2025-12-11T18:05:22+0100,PAG,2025-12-11T18:44:45+0100,2025-12-11T20:38:29+0100,MLX,00:11:16,102.46666666666667,113.73333333333333
84,2025-12-11,2025-12-11T16:00:00+0100,2025-12-11T18:06:18+0100,BE,2025-12-11T16:33:36+0100,2025-12-11T18:41:37+0100,I  W1,00:01:43,126.3,128.01666666666668
860,2025-12-11,2025-12-11T10:04:08+0100,2025-12-11T10:04:14+0100,KLSS22,2025-12-11T17:15:03+0100,2025-12-11T18:23:10+0100,LATH1,01:08:01,0.1,68.11666666666666
890,2025-12-11,2025-12-11T17:22:00+0100,2025-12-11T18:29:18+0100,BG H1,2025-12-11T17:28:00+0100,2025-12-11T18:34:48+0100,LIR,-00:00:30,67.3,66.8
1291,2025-12-11,2025-12-11T21:55:00+0100,2025-12-11T22:59:56+0100,MFL,2025-12-11T22:00:32+0100,2025-12-11T23:04:57+0100,SBJ,-00:00:31,64.93333333333334,64.41666666666667
7943,2025-12-11,2025-12-11T15:04:10+0100,2025-12-11T15:07:24+0100,NS G,2025-12-11T15:34:30+0100,2025-12-11T16:44:56+0100,WAL,01:07:12,3.2333333333333334,70.43333333333334
7947,2025-12-11,2025-12-11T16:04:10+0100,2025-12-11T16:35:55+0100,NS G,2025-12-11T16:41:51+0100,2025-12-11T17:43:55+0100,PAMG,00:30:19,31.75,62.06666666666667
21089,2025-12-11,2025-12-11T01:28:00+0100,2025-12-11T01:27:17+0100,TUS,2025-12-11T01:34:00+0100,2025-12-11T02:50:55+0100,TU,01:17:38,0.0,76.91666666666667
67,2025-12-12,2025-12-12T14:52:00+0100,2025-12-12T14:52:02+0100,MFL,2025-12-12T18:25:00+0100,2025-12-12T19:29:56+0100,HE,01:04:54,0.03333333333333333,64.93333333333334
218,2025-12-12,2025-12-12T05:46:50+0100,2025-12-12T06:08:42+0100,GMI,2025-12-12T10:06:30+0100,2025-12-12T11:42:10+0100,MFL,01:13:48,21.866666666666667,95.66666666666667
371,2025-12-12,2025-12-12T17:50:00+0100,2025-12-12T18:34:30+0100,BPA,2025-12-12T21:31:50+0100,2025-12-12T23:03:07+0100,GMI,00:46:47,44.5,91.28333333333333
463,2025-12-12,2025-12-12T03:56:03+0100,2025-12-12T04:29:14+0100,HW Z3,2025-12-12T07:25:00+0100,2025-12-12T08:33:56+0100,HE,00:35:45,33.18333333333333,68.93333333333334
612,2025-12-12,2025-12-12T17:46:50+0100,2025-12-12T18:48:15+0100,GMI,2025-12-12T21:41:39+0100,2025-12-12T22:47:09+0100,SBM,00:04:05,61.416666666666664,65.5
762,2025-12-12,2025-12-12T19:30:00+0100,2025-12-12T20:32:27+0100,MLX,2025-12-12T23:47:01+0100,2025-12-13T00:55:32+0100,H  H3,00:06:04,62.45,68.51666666666667
6408,2025-12-12,2025-12-12T06:47:54+0100,2025-12-12T06:47:54+0100,GRUH3,2025-12-12T07:28:30+0100,2025-12-12T08:50:17+0100,NBF,01:21:47,0.0,81.78333333333333
16756,2025-12-12,2025-12-12T13:22:14+0100,2025-12-12T14:44:57+0100,GMI,2025-12-12T16:34:10+0100,2025-12-12T18:00:54+0100,LZW,00:04:01,82.71666666666667,86.73333333333333
16757,2025-12-12,2025-12-12T17:30:01+0100,2025-12-12T18:39:17+0100,LZW,2025-12-12T20:01:27+0100,2025-12-12T21:06:44+0100,LEW,-00:03:59,69.26666666666667,65.28333333333333
107,2025-12-13,2025-12-13T18:47:00+0100,2025-12-13T20:02:00+0100,BPA,2025-12-13T22:31:50+0100,2025-12-14T00:19:42+0100,GMI,00:32:52,75.0,107.86666666666666
347,2025-12-13,2025-12-13T19:43:59+0100,2025-12-13T21:08:26+0100,OF,2025-12-13T20:25:00+0100,2025-12-13T21:48:59+0100,HE,-00:00:28,84.45,83.98333333333333
457,2025-12-13,2025-12-13T03:43:30+0100,2025-12-13T04:47:30+0100,BPA,2025-12-13T09:58:43+0100,2025-12-13T09:57:05+0100,GMI,-01:05:38,64.0,0.0
469,2025-12-13,2025-12-13T07:18:00+0100,2025-12-13T08:23:15+0100,MFL,2025-12-13T10:11:24+0100,2025-12-13T11:09:44+0100,MLX,-00:06:55,65.25,58.333333333333336
491,2025-12-13,2025-12-13T06:15:00+0100,2025-12-13T07:37:03+0100,PA,2025-12-13T09:15:00+0100,2025-12-13T10:07:11+0100,MLX,-00:29:52,82.05,52.18333333333333
1858,2025-12-13,2025-12-13T11:01:30+0100,2025-12-13T11:01:13+0100,TL,2025-12-13T11:43:00+0100,2025-12-13T12:45:56+0100,SC,01:03:13,0.0,62.93333333333333
3908,2025-12-13,2025-12-13T11:21:43+0100,2025-12-13T11:22:21+0100,SLN,2025-12-13T13:15:57+0100,2025-12-13T14:16:05+0100,LZW,00:59:30,0.6333333333333333,60.13333333333333
79161,2025-12-13,2025-12-13T12:12:36+0100,2025-12-13T13:13:17+0100,SB G,2025-12-13T12:18:38+0100,2025-12-13T13:17:52+0100,SBJ,-00:01:27,60.68333333333333,59.233333333333334
79163,2025-12-13,2025-12-13T12:25:45+0100,2025-12-13T13:26:47+0100,SB G,2025-12-13T12:33:54+0100,2025-12-13T13:33:26+0100,SBJ,-00:01:30,61.03333333333333,59.53333333333333
25,2025-12-14,2025-12-14T14:23:00+0100,2025-12-14T15:22:54+0100,PAG,2025-12-14T16:44:39+0100,2025-12-14T17:55:50+0100,MLX,00:11:17,59.9,71.18333333333334
80,2025-12-14,2025-12-14T20:00:00+0100,2025-12-14T21:23:46+0100,BE,2025-12-14T21:29:00+0100,2025-12-14T22:51:43+0100,K  G,-00:01:03,83.76666666666667,82.71666666666667
140,2025-12-14,2025-12-14T10:32:30+0100,2025-12-14T11:49:54+0100,HE,2025-12-14T11:58:21+0100,2025-12-14T12:54:48+0100,OW,-00:20:57,77.4,56.45
146,2025-12-14,2025-12-14T16:32:30+0100,2025-12-14T18:32:50+0100,HE,2025-12-14T17:58:21+0100,2025-12-14T19:41:46+0100,OW,-00:16:55,120.33333333333333,103.41666666666667
161,2025-12-14,2025-12-14T07:56:00+0100,2025-12-14T08:04:41+0100,BC,2025-12-14T14:29:34+0100,2025-12-14T15:32:41+0100,MLX,00:54:26,8.683333333333334,63.11666666666667
229,2025-12-14,2025-12-14T20:23:00+0100,2025-12-14T21:23:27+0100,PAG,2025-12-14T22:44:39+0100,2025-12-14T23:32:50+0100,MLX,-00:12:16,60.45,48.18333333333333
848,2025-12-14,2025-12-14T04:59:00+0100,2025-12-14T05:02:40+0100,MLX,2025-12-14T07:46:14+0100,2025-12-14T09:00:52+0100,HW Z3,01:10:58,3.6666666666666665,74.63333333333334
