zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta,abfahrt_verspaetung_min,ankunft_verspaetung_min
27,2025-12-08,2025-12-08T16:22:54+0100,2025-12-08T17:32:19+0100,PAG,2025-12-08T18:44:45+0100,2025-12-08T20:09:26+0100,MLX,00:15:16,69.41666666666667,84.68333333333334
130,2025-12-08,2025-12-08T18:49:00+0100,2025-12-08T19:40:14+0100,TBV,2025-12-08T23:34:20+0100,2025-12-09T00:53:01+0100,MLX,00:27:27,51.233333333333334,78.68333333333334
233,2025-12-08,2025-12-08T19:20:00+0100,2025-12-08T20:51:59+0100,MLX,2025-12-08T23:59:34+0100,2025-12-09T01:25:54+0100,VBO,-00:05:39,91.98333333333333,86.33333333333333
295,2025-12-08,2025-12-08T21:45:00+0100,2025-12-08T21:42:39+0100,MFL,2025-12-09T01:25:00+0100,2025-12-09T02:38:23+0100,TBV,01:15:44,0.0,73.38333333333334
375,2025-12-08,2025-12-08T21:50:00+0100,2025-12-08T22:48:30+0100,BPA,2025-12-08T22:47:50+0100,2025-12-08T23:49:31+0100,OF,00:03:11,58.5,61.68333333333333
611,2025-12-08,2025-12-08T16:17:54+0100,2025-12-08T16:23:45+0100,SBM,2025-12-08T20:13:02+0100,2025-12-08T21:14:13+0100,GMI,00:55:20,5.85,61.18333333333333
3916,2025-12-08,2025-12-08T19:21:39+0100,2025-12-08T19:22:44+0100,SLN,2025-12-08T21:04:38+0100,2025-12-08T22:27:08+0100,LZW,01:21:25,1.0833333333333333,82.5
3917,2025-12-08,2025-12-08T18:55:57+0100,2025-12-08T18:57:51+0100,LZW,2025-12-08T20:37:44+0100,2025-12-08T22:07:52+0100,SLN,01:28:14,1.9,90.13333333333334
27,2025-12-09,2025-12-09T16:22:54+0100,2025-12-09T17:42:43+0100,PAG,2025-12-09T18:44:45+0100,2025-12-09T20:07:34+0100,MLX,00:03:00,79.81666666666666,82.81666666666666
115,2025-12-09,2025-12-09T15:52:00+0100,2025-12-09T17:09:27+0100,MFL,2025-12-09T19:16:56+0100,2025-12-09T20:24:39+0100,KT H1,-00:09:44,77.45,67.71666666666667
117,2025-12-09,2025-12-09T19:52:00+0100,2025-12-09T20:52:27+0100,MFL,2025-12-09T23:16:56+0100,2025-12-09T23:53:33+0100,KT H1,-00:23:50,60.45,36.61666666666667
130,2025-12-09,2025-12-09T18:49:00+0100,2025-12-09T18:55:52+0100,TBV,2025-12-09T23:34:20+0100,2025-12-10T00:40:14+0100,MLX,00:59:02,6.866666666666666,65.9
166,2025-12-09,2025-12-09T13:30:00+0100,2025-12-09T13:30:16+0100,MLX,2025-12-09T20:06:30+0100,2025-12-09T21:37:39+0100,BC,01:30:53,0.26666666666666666,91.15
219,2025-12-09,2025-12-09T17:52:00+0100,2025-12-09T18:29:52+0100,MFL,2025-12-09T22:13:02+0100,2025-12-09T23:19:31+0100,GMI,00:28:37,37.86666666666667,66.48333333333333
229,2025-12-09,2025-12-09T20:31:00+0100,2025-12-09T23:06:53+0100,PA,2025-12-09T23:10:58+0100,2025-12-10T01:48:48+0100,MLX,00:01:57,155.88333333333333,157.83333333333334
513,2025-12-09,2025-12-09T08:17:54+0100,2025-12-09T08:18:17+0100,SBM,2025-12-09T12:13:02+0100,2025-12-09T13:24:12+0100,GMI,01:10:47,0.38333333333333336,71.16666666666667
596,2025-12-09,2025-12-09T12:13:59+0100,2025-12-09T14:06:59+0100,SBM,2025-12-09T14:41:57+0100,2025-12-09T16:20:19+0100,GU Z2,-00:14:38,113.0,98.36666666666666
611,2025-12-09,2025-12-09T16:17:54+0100,2025-12-09T16:19:46+0100,SBM,2025-12-09T18:15:08+0100,2025-12-09T20:37:23+0100,MAG,02:20:23,1.8666666666666667,142.25
612,2025-12-09,2025-12-09T17:46:50+0100,2025-12-09T17:46:59+0100,GMI,2025-12-09T21:41:39+0100,2025-12-09T23:07:28+0100,SBM,01:25:40,0.15,85.81666666666666
855,2025-12-09,2025-12-09T23:26:00+0100,2025-12-09T23:29:02+0100,MLX,2025-12-10T02:02:47+0100,2025-12-10T03:44:27+0100,GMI,01:38:38,3.033333333333333,101.66666666666667
975,2025-12-09,2025-12-09T14:27:30+0100,2025-12-09T14:29:51+0100,H  H3,2025-12-09T18:50:14+0100,2025-12-09T19:50:59+0100,OW,00:58:24,2.35,60.75
978,2025-12-09,2025-12-09T17:09:42+0100,2025-12-09T17:10:17+0100,OW,2025-12-09T21:32:30+0100,2025-12-09T22:33:49+0100,H  H3,01:00:44,0.5833333333333334,61.31666666666667
1299,2025-12-09,2025-12-09T20:54:00+0100,2025-12-09T22:00:47+0100,MFL,2025-12-09T20:59:14+0100,2025-12-09T22:05:08+0100,SBJ,-00:00:53,66.78333333333333,65.9
