zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta,abfahrt_verspaetung_min,ankunft_verspaetung_min
64,2025-12-01,2025-12-01T13:32:30+0100,2025-12-01T13:32:42+0100,HE,2025-12-01T17:06:00+0100,2025-12-01T18:15:08+0100,MFL,01:08:56,0.2,69.13333333333334
75,2025-12-01,2025-12-01T11:50:00+0100,2025-12-01T12:42:30+0100,BPA,2025-12-01T15:35:58+0100,2025-12-01T16:40:20+0100,GMI,00:11:52,52.5,64.36666666666666
146,2025-12-01,2025-12-01T16:32:30+0100,2025-12-01T17:55:12+0100,HE,2025-12-01T17:18:20+0100,2025-12-01T18:40:19+0100,OF,-00:00:43,82.7,81.98333333333333
257,2025-12-01,2025-12-01T13:50:00+0100,2025-12-01T15:04:00+0100,BPA,2025-12-01T17:35:58+0100,2025-12-01T18:42:26+0100,GMI,-00:07:32,74.0,66.46666666666667
446,2025-12-01,2025-12-01T22:44:30+0100,2025-12-01T23:50:21+0100,WBF,2025-12-02T08:27:18+0100,2025-12-02T08:26:30+0100,LATH1,-01:06:39,65.85,0.0
490,2025-12-01,2025-12-01T20:12:00+0100,2025-12-01T21:22:33+0100,MLX,,2025-12-02T00:15:37+0100,PAG,,70.55,0.0
646,2025-12-01,2025-12-01T13:57:00+0100,2025-12-01T13:56:56+0100,MLX,2025-12-01T16:46:12+0100,2025-12-01T17:52:01+0100,HW Z3,01:05:53,0.0,65.81666666666666
742,2025-12-01,2025-12-01T16:35:00+0100,2025-12-01T16:35:32+0100,KLSS22,2025-12-01T19:46:10+0100,2025-12-01T20:52:32+0100,HW Z3,01:05:50,0.5333333333333333,66.36666666666666
745,2025-12-01,2025-12-01T17:13:40+0100,2025-12-01T18:17:56+0100,HW Z3,2025-12-01T20:03:24+0100,2025-12-01T21:07:10+0100,MLX,-00:00:30,64.26666666666667,63.766666666666666
864,2025-12-01,2025-12-01T14:04:00+0100,2025-12-01T14:04:10+0100,KLSS22,2025-12-01T21:15:03+0100,2025-12-01T22:15:31+0100,LATH1,01:00:18,0.16666666666666666,60.46666666666667
