zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta,abfahrt_verspaetung_min,ankunft_verspaetung_min
5071,2025-12-01,2025-12-01T15:21:26+0100,2025-12-01T15:21:35+0100,SB G,2025-12-01T17:58:34+0100,2025-12-01T19:19:53+0100,LZW,01:21:10,0.15,81.31666666666666
5074,2025-12-01,2025-12-01T15:01:18+0100,2025-12-01T15:01:33+0100,LZW,2025-12-01T17:23:24+0100,2025-12-01T18:58:11+0100,HW Z3,01:34:32,0.25,94.78333333333333
19564,2025-12-01,2025-12-01T15:12:36+0100,2025-12-01T15:13:56+0100,NBN,2025-12-01T17:08:14+0100,2025-12-01T18:19:38+0100,DRG,01:10:04,1.3333333333333333,71.4
234,2025-12-02,2025-12-02T04:17:59+0100,2025-12-02T08:26:36+0100,VBO,2025-12-02T08:46:58+0100,2025-12-02T12:48:52+0100,MLX,-00:06:43,248.61666666666667,241.9
294,2025-12-02,2025-12-02T03:35:00+0100,2025-12-02T07:23:51+0100,TBV,2025-12-02T07:07:00+0100,2025-12-02T11:12:32+0100,MFL,00:16:41,228.85,245.53333333333333
457,2025-12-02,2025-12-02T03:43:30+0100,2025-12-02T05:47:00+0100,BPA,2025-12-02T09:58:43+0100,2025-12-02T10:05:42+0100,GMI,-01:56:31,123.5,6.983333333333333
465,2025-12-02,2025-12-02T22:04:00+0100,2025-12-02T23:36:20+0100,BC,2025-12-03T06:57:05+0100,2025-12-03T08:17:57+0100,GMI,-00:11:28,92.33333333333333,80.86666666666666
467,2025-12-02,2025-12-02T23:05:00+0100,2025-12-03T00:07:40+0100,BC,2025-12-03T07:56:10+0100,2025-12-03T07:56:15+0100,MLX,-01:02:35,62.666666666666664,0.08333333333333333
2115,2025-12-02,2025-12-02T07:09:09+0100,2025-12-02T07:08:15+0100,GM G,2025-12-02T09:24:00+0100,2025-12-02T10:38:24+0100,WF H1,01:15:18,0.0,74.4
27,2025-12-03,2025-12-03T16:22:54+0100,2025-12-03T18:11:49+0100,PAG,2025-12-03T18:44:45+0100,2025-12-03T20:42:39+0100,MLX,00:08:59,108.91666666666667,117.9
236,2025-12-03,2025-12-03T00:05:00+0100,2025-12-03T01:10:39+0100,TBV,2025-12-03T04:13:00+0100,2025-12-03T04:36:21+0100,MFL,-00:42:18,65.65,23.35
406,2025-12-03,2025-12-03T20:17:00+0100,2025-12-03T20:28:49+0100,MFL,2025-12-04T00:34:00+0100,2025-12-04T01:35:35+0100,BA,00:49:46,11.816666666666666,61.583333333333336
463,2025-12-03,2025-12-03T03:56:03+0100,2025-12-03T05:01:51+0100,HW Z3,2025-12-03T07:25:00+0100,2025-12-03T08:24:37+0100,HE,-00:06:11,65.8,59.61666666666667
666,2025-12-03,2025-12-03T06:45:40+0100,2025-12-03T07:53:58+0100,WT,2025-12-03T08:41:11+0100,2025-12-03T09:59:30+0100,FA A1,00:10:01,68.3,78.31666666666666
1675,2025-12-03,2025-12-03T23:21:01+0100,2025-12-03T23:23:24+0100,WATS96,2025-12-04T00:24:26+0100,2025-12-04T02:14:35+0100,OW,01:47:46,2.3833333333333333,110.15
1678,2025-12-03,2025-12-03T23:54:26+0100,2025-12-04T00:25:38+0100,OW,2025-12-04T00:52:22+0100,2025-12-04T02:24:46+0100,WATS95,01:01:12,31.2,92.4
20076,2025-12-03,2025-12-03T23:27:52+0100,2025-12-03T23:30:49+0100,OW,2025-12-04T00:15:06+0100,2025-12-04T02:01:05+0100,HU H4,01:43:02,2.95,105.98333333333333
31671,2025-12-03,2025-12-03T22:45:43+0100,2025-12-03T23:46:57+0100,PM H2,2025-12-03T23:07:47+0100,2025-12-04T00:09:44+0100,OW,00:00:43,61.233333333333334,61.95
375,2025-12-04,2025-12-04T21:50:00+0100,2025-12-04T22:54:00+0100,BPA,2025-12-04T22:47:50+0100,2025-12-04T23:57:22+0100,OF,00:05:32,64.0,69.53333333333333
414,2025-12-04,2025-12-04T23:15:00+0100,2025-12-05T00:28:27+0100,JS,2025-12-05T02:42:50+0100,2025-12-05T03:41:25+0100,SBM,-00:14:52,73.45,58.583333333333336
421,2025-12-04,2025-12-04T08:23:22+0100,2025-12-04T09:32:02+0100,MKI,2025-12-04T09:12:27+0100,2025-12-04T10:13:33+0100,H  H3,-00:07:34,68.66666666666667,61.1
491,2025-12-04,2025-12-04T06:10:36+0100,2025-12-04T07:49:31+0100,PAG,2025-12-04T09:15:00+0100,2025-12-04T10:36:14+0100,MLX,-00:17:41,98.91666666666667,81.23333333333333
1827,2025-12-04,2025-12-04T05:50:30+0100,2025-12-04T06:57:47+0100,I  W1,2025-12-04T06:27:00+0100,2025-12-04T07:33:01+0100,BE,-00:01:16,67.28333333333333,66.01666666666667
96,2025-12-05,2025-12-05T20:52:00+0100,2025-12-05T22:10:41+0100,LIR,2025-12-05T21:09:00+0100,2025-12-05T22:27:38+0100,MT,-00:00:03,78.68333333333334,78.63333333333334
109,2025-12-05,2025-12-05T20:47:00+0100,2025-12-05T22:28:30+0100,BPA,2025-12-05T22:08:47+0100,2025-12-05T23:53:12+0100,OW,00:02:55,101.5,104.41666666666667
146,2025-12-05,2025-12-05T16:29:30+0100,2025-12-05T18:33:00+0100,HE,2025-12-05T16:29:30+0100,2025-12-05T18:33:00+0100,HE,00:00:00,123.5,123.5
219,2025-12-05,2025-12-05T17:52:00+0100,2025-12-05T19:34:34+0100,MFL,2025-12-05T22:13:02+0100,2025-12-05T23:34:40+0100,GMI,-00:20:56,102.56666666666666,81.63333333333334
237,2025-12-05,2025-12-05T01:21:00+0100,2025-12-05T02:58:03+0100,MFL,2025-12-05T05:23:00+0100,2025-12-05T06:17:01+0100,TBV,-00:43:02,97.05,54.016666666666666
337,2025-12-05,2025-12-05T21:00:00+0100,2025-12-05T22:19:05+0100,HDV,2025-12-05T22:03:49+0100,2025-12-05T23:31:22+0100,GL,00:08:28,79.08333333333333,87.55
415,2025-12-05,2025-12-05T02:12:30+0100,2025-12-05T03:25:48+0100,SBM,2025-12-05T06:56:30+0100,2025-12-05T06:55:48+0100,JS,-01:14:00,73.3,0.0
491,2025-12-05,2025-12-05T06:10:36+0100,2025-12-05T07:18:27+0100,PAG,2025-12-05T09:21:21+0100,2025-12-05T10:15:33+0100,MLX,-00:13:39,67.85,54.2
760,2025-12-05,2025-12-05T17:04:08+0100,2025-12-05T17:04:41+0100,KLSS22,2025-12-06T00:15:17+0100,2025-12-06T01:35:50+0100,LATH1,01:20:00,0.55,80.55
146,2025-12-06,2025-12-06T16:32:30+0100,2025-12-06T17:57:04+0100,HE,2025-12-06T17:18:20+0100,2025-12-06T18:34:56+0100,OF,-00:07:58,84.56666666666666,76.6
64,2025-12-07,2025-12-07T13:32:30+0100,2025-12-07T13:42:16+0100,HE,2025-12-07T16:50:27+0100,2025-12-07T18:08:21+0100,HW Z3,01:08:08,9.766666666666667,77.9
65,2025-12-07,2025-12-07T12:52:00+0100,2025-12-07T12:52:34+0100,MFL,2025-12-07T16:25:00+0100,2025-12-07T17:52:53+0100,HE,01:27:19,0.5666666666666667,87.88333333333334
91,2025-12-07,2025-12-07T14:22:54+0100,2025-12-07T14:28:57+0100,PAG,2025-12-07T16:44:45+0100,2025-12-07T18:41:12+0100,MLX,01:50:24,6.05,116.45
93,2025-12-07,2025-12-07T15:24:18+0100,2025-12-07T15:25:55+0100,PAG,2025-12-07T17:44:45+0100,2025-12-07T18:52:31+0100,MLX,01:06:09,1.6166666666666667,67.76666666666667
166,2025-12-07,2025-12-07T13:30:00+0100,2025-12-07T13:30:30+0100,MLX,2025-12-07T20:06:30+0100,2025-12-07T21:56:47+0100,BC,01:49:47,0.5,110.28333333333333
294,2025-12-07,2025-12-07T03:35:00+0100,2025-12-07T04:15:04+0100,TBV,2025-12-07T07:07:00+0100,2025-12-07T08:20:10+0100,MFL,00:33:06,40.06666666666667,73.16666666666667
491,2025-12-07,2025-12-07T06:10:36+0100,2025-12-07T07:27:17+0100,PAG,2025-12-07T09:15:00+0100,2025-12-07T10:06:19+0100,MLX,-00:25:22,76.68333333333334,51.31666666666667
644,2025-12-07,2025-12-07T12:35:00+0100,2025-12-07T12:35:23+0100,KLSS22,2025-12-07T15:46:10+0100,2025-12-07T17:25:26+0100,HW Z3,01:38:53,0.38333333333333336,99.26666666666667
646,2025-12-07,2025-12-07T13:57:00+0100,2025-12-07T13:57:06+0100,MLX,2025-12-07T16:46:12+0100,2025-12-07T18:05:13+0100,HW Z3,01:18:55,0.1,79.01666666666667
647,2025-12-07,2025-12-07T13:13:40+0100,2025-12-07T13:30:58+0100,HW Z3,2025-12-07T16:03:24+0100,2025-12-07T17:43:02+0100,MLX,01:22:20,17.3,99.63333333333334
864,2025-12-07,2025-12-07T14:04:00+0100,2025-12-07T14:04:05+0100,KLSS22,2025-12-07T21:15:03+0100,2025-12-07T22:37:32+0100,LATH1,01:22:24,0.08333333333333333,82.48333333333333
916,2025-12-07,2025-12-07T13:39:42+0100,2025-12-07T13:40:05+0100,OW,2025-12-07T16:05:14+0100,2025-12-07T17:36:48+0100,HW Z3,01:31:11,0.38333333333333336,91.56666666666666
921,2025-12-07,2025-12-07T14:54:27+0100,2025-12-07T14:54:32+0100,HW Z3,2025-12-07T17:20:14+0100,2025-12-07T18:20:24+0100,OW,01:00:05,0.08333333333333333,60.166666666666664
952,2025-12-07,2025-12-07T14:09:42+0100,2025-12-07T14:10:17+0100,OW,2025-12-07T15:21:28+0100,2025-12-07T16:46:32+0100,KUES21,01:24:29,0.5833333333333334,85.06666666666666
959,2025-12-07,2025-12-07T15:38:15+0100,2025-12-07T17:02:56+0100,KUES22,2025-12-07T16:50:14+0100,2025-12-07T18:12:37+0100,OW,-00:02:18,84.68333333333334,82.38333333333334
965,2025-12-07,2025-12-07T13:15:00+0100,2025-12-07T13:18:10+0100,MFL,2025-12-07T15:50:14+0100,2025-12-07T17:32:20+0100,OW,01:38:56,3.1666666666666665,102.1
1783,2025-12-07,2025-12-07T14:50:26+0100,2025-12-07T16:33:11+0100,PAV,2025-12-07T16:08:14+0100,2025-12-07T17:57:15+0100,LZW,00:06:16,102.75,109.01666666666667
1922,2025-12-07,2025-12-07T15:19:48+0100,2025-12-07T16:18:25+0100,OW,2025-12-07T16:48:06+0100,2025-12-07T17:51:33+0100,AOS,00:04:50,58.61666666666667,63.45
1929,2025-12-07,2025-12-07T15:11:16+0100,2025-12-07T16:14:48+0100,AOS,2025-12-07T16:31:43+0100,2025-12-07T17:21:05+0100,HF S12,-00:14:10,63.53333333333333,49.36666666666667
2528,2025-12-07,2025-12-07T18:15:08+0100,2025-12-07T18:16:35+0100,OF,2025-12-07T18:45:47+0100,2025-12-07T19:48:47+0100,SFLH1,01:01:33,1.45,63.0
3041,2025-12-07,2025-12-07T14:12:02+0100,2025-12-07T14:18:28+0100,SASS12,2025-12-07T14:58:34+0100,2025-12-07T16:26:44+0100,LZW,01:21:44,6.433333333333334,88.16666666666667
3656,2025-12-07,2025-12-07T14:14:00+0100,2025-12-07T14:13:47+0100,STB,2025-12-07T15:01:22+0100,2025-12-07T16:35:08+0100,KUES21,01:33:59,0.0,93.76666666666667
3661,2025-12-07,2025-12-07T14:55:19+0100,2025-12-07T16:26:52+0100,KUES22,2025-12-07T15:45:05+0100,2025-12-07T17:09:38+0100,STB,-00:07:00,91.55,84.55
3662,2025-12-07,2025-12-07T16:14:00+0100,2025-12-07T17:29:24+0100,STB,2025-12-07T17:01:22+0100,2025-12-07T18:15:21+0100,KUES21,-00:01:25,75.4,73.98333333333333
3805,2025-12-07,2025-12-07T15:00:41+0100,2025-12-07T15:06:41+0100,HDV,2025-12-07T16:21:32+0100,2025-12-07T17:28:18+0100,GL,01:00:46,6.0,66.76666666666667
3822,2025-12-07,2025-12-07T14:38:01+0100,2025-12-07T14:39:11+0100,GL,2025-12-07T15:13:00+0100,2025-12-07T16:56:04+0100,GA H1,01:41:54,1.1666666666666667,103.06666666666666
3865,2025-12-07,2025-12-07T14:46:33+0100,2025-12-07T16:19:07+0100,GA H1,2025-12-07T15:21:28+0100,2025-12-07T16:52:01+0100,GL,-00:02:01,92.56666666666666,90.55
3872,2025-12-07,2025-12-07T15:38:22+0100,2025-12-07T17:02:23+0100,GL,2025-12-07T16:13:04+0100,2025-12-07T17:34:36+0100,GA H1,-00:02:29,84.01666666666667,81.53333333333333
3910,2025-12-07,2025-12-07T13:21:41+0100,2025-12-07T13:22:33+0100,SLN,2025-12-07T15:03:09+0100,2025-12-07T16:25:26+0100,LZW,01:21:25,0.8666666666666667,82.28333333333333
3911,2025-12-07,2025-12-07T14:56:04+0100,2025-12-07T16:15:12+0100,LZW,2025-12-07T16:37:45+0100,2025-12-07T17:49:29+0100,SLN,-00:07:24,79.13333333333334,71.73333333333333
3957,2025-12-07,2025-12-07T14:36:59+0100,2025-12-07T16:18:42+0100,LZW,2025-12-07T15:30:31+0100,2025-12-07T17:15:19+0100,WAKZ3,00:03:05,101.71666666666667,104.8
3960,2025-12-07,2025-12-07T14:26:57+0100,2025-12-07T14:27:20+0100,WAKZ3,2025-12-07T15:23:24+0100,2025-12-07T16:34:20+0100,LZW,01:10:33,0.38333333333333336,70.93333333333334
5074,2025-12-07,2025-12-07T15:01:18+0100,2025-12-07T16:32:29+0100,LZW,2025-12-07T17:23:24+0100,2025-12-07T18:34:50+0100,HW Z3,-00:19:45,91.18333333333334,71.43333333333334
5923,2025-12-07,2025-12-07T15:41:53+0100,2025-12-07T16:56:35+0100,PAV,2025-12-07T17:08:14+0100,2025-12-07T18:27:11+0100,LZW,00:04:15,74.7,78.95
5973,2025-12-07,2025-12-07T13:19:43+0100,2025-12-07T13:20:06+0100,BRUG,2025-12-07T15:08:36+0100,2025-12-07T16:50:42+0100,LZW,01:41:43,0.38333333333333336,102.1
5976,2025-12-07,2025-12-07T14:51:04+0100,2025-12-07T16:28:02+0100,LZW,2025-12-07T16:43:53+0100,2025-12-07T18:16:51+0100,BRUG,-00:04:00,96.96666666666667,92.96666666666667
6171,2025-12-07,2025-12-07T14:52:54+0100,2025-12-07T16:23:44+0100,SVE,2025-12-07T15:39:12+0100,2025-12-07T17:01:23+0100,GBKH1,-00:08:39,90.83333333333333,82.18333333333334
9720,2025-12-07,2025-12-07T15:10:32+0100,2025-12-07T16:15:01+0100,AMSZ1,2025-12-07T15:34:41+0100,2025-12-07T16:38:27+0100,SPWS97,-00:00:43,64.48333333333333,63.766666666666666
30166,2025-12-07,2025-12-07T14:59:37+0100,2025-12-07T16:19:15+0100,WE S11,2025-12-07T15:50:27+0100,2025-12-07T17:06:45+0100,HW Z3,-00:03:20,79.63333333333334,76.3
