zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta,abfahrt_verspaetung_min,ankunft_verspaetung_min
3911,2025-12-17,2025-12-17T15:05:00+0100,2025-12-17T15:07:04+0100,LZW,2025-12-17T16:28:30+0100,2025-12-17T17:57:36+0100,SPI,01:27:02,2.066666666666667,89.1
25,2025-12-18,2025-12-18T14:29:00+0100,2025-12-18T15:47:42+0100,PA,2025-12-18T16:44:39+0100,2025-12-18T18:12:22+0100,MLX,00:09:01,78.7,87.71666666666667
27,2025-12-18,2025-12-18T16:29:00+0100,2025-12-18T17:38:15+0100,PA,2025-12-18T18:44:39+0100,2025-12-18T20:05:13+0100,MLX,00:11:19,69.25,80.56666666666666
64,2025-12-18,2025-12-18T13:32:30+0100,2025-12-18T14:31:14+0100,HE,2025-12-18T17:06:00+0100,2025-12-18T18:15:52+0100,MFL,00:11:08,58.733333333333334,69.86666666666666
93,2025-12-18,2025-12-18T19:29:00+0100,2025-12-18T22:02:28+0100,PA,2025-12-18T21:44:39+0100,2025-12-19T00:14:16+0100,MLX,-00:03:51,153.46666666666667,149.61666666666667
142,2025-12-18,2025-12-18T12:32:30+0100,2025-12-18T13:56:44+0100,HE,2025-12-18T13:58:21+0100,2025-12-18T14:58:47+0100,OW,-00:23:48,84.23333333333333,60.43333333333333
465,2025-12-18,2025-12-18T21:54:00+0100,2025-12-18T23:44:54+0100,MT,2025-12-19T08:26:35+0100,2025-12-19T08:41:41+0100,GZS,-01:35:48,110.9,15.1
467,2025-12-18,2025-12-18T22:55:00+0100,2025-12-19T01:31:22+0100,MT,2025-12-19T08:00:47+0100,2025-12-19T09:55:58+0100,MLX,-00:41:11,156.36666666666667,115.18333333333334
557,2025-12-18,2025-12-18T15:18:29+0100,2025-12-18T15:18:57+0100,LIEH1,2025-12-18T20:33:48+0100,2025-12-18T22:18:39+0100,MLX,01:44:23,0.4666666666666667,104.85
637,2025-12-18,2025-12-18T16:55:00+0100,2025-12-18T16:58:00+0100,MLX,2025-12-18T20:26:00+0100,2025-12-18T22:09:13+0100,VBO,01:40:13,3.0,103.21666666666667
764,2025-12-18,2025-12-18T21:04:07+0100,2025-12-18T21:04:21+0100,KLSS22,2025-12-18T23:56:29+0100,2025-12-19T02:00:12+0100,HW Z3,02:03:29,0.23333333333333334,123.71666666666667
787,2025-12-18,2025-12-18T16:12:35+0100,2025-12-18T16:13:56+0100,KTO,2025-12-18T18:54:34+0100,2025-12-18T20:10:45+0100,KI S12,01:14:50,1.35,76.18333333333334
864,2025-12-18,2025-12-18T16:58:00+0100,2025-12-18T18:02:30+0100,SBJ,2025-12-18T21:15:03+0100,2025-12-18T22:22:35+0100,LATH1,00:03:02,64.5,67.53333333333333
886,2025-12-18,2025-12-18T19:05:55+0100,2025-12-18T20:31:32+0100,KI S11,2025-12-18T21:47:31+0100,2025-12-18T23:05:05+0100,KTO,-00:08:03,85.61666666666666,77.56666666666666
1034,2025-12-18,2025-12-18T13:37:00+0100,2025-12-18T14:43:44+0100,HE,2025-12-18T15:32:29+0100,2025-12-18T16:36:10+0100,BELG,-00:03:03,66.73333333333333,63.68333333333333
2747,2025-12-18,2025-12-18T16:34:36+0100,2025-12-18T17:55:17+0100,NGG,2025-12-18T18:08:36+0100,2025-12-18T19:19:58+0100,GD H1,-00:09:19,80.68333333333334,71.36666666666666
4178,2025-12-18,2025-12-18T18:24:42+0100,2025-12-18T18:24:50+0100,ZG,2025-12-18T19:11:51+0100,2025-12-18T20:21:40+0100,STL,01:09:41,0.13333333333333333,69.81666666666666
4639,2025-12-18,2025-12-18T22:53:06+0100,2025-12-18T22:53:40+0100,STTS11,2025-12-18T23:19:37+0100,2025-12-19T00:23:50+0100,GU Z2,01:03:39,0.5666666666666667,64.21666666666667
5569,2025-12-18,2025-12-18T11:29:30+0100,2025-12-18T11:32:04+0100,LIR,2025-12-18T12:09:49+0100,2025-12-18T13:14:51+0100,FK H1,01:02:28,2.566666666666667,65.03333333333333
7145,2025-12-18,2025-12-18T15:51:54+0100,2025-12-18T17:13:27+0100,MLX,2025-12-18T17:07:19+0100,2025-12-18T18:28:07+0100,HKAG,-00:00:45,81.55,80.8
7149,2025-12-18,2025-12-18T16:51:54+0100,2025-12-18T17:45:29+0100,MLX,2025-12-18T18:07:19+0100,2025-12-18T19:11:27+0100,HKAG,00:10:33,53.583333333333336,64.13333333333334
7380,2025-12-18,2025-12-18T18:49:57+0100,2025-12-18T18:50:16+0100,BGLH2,2025-12-18T19:50:51+0100,2025-12-18T21:14:37+0100,GZS,01:23:27,0.31666666666666665,83.76666666666667
9039,2025-12-18,2025-12-18T12:38:08+0100,2025-12-18T12:38:12+0100,HZ,2025-12-18T12:51:29+0100,2025-12-18T16:02:24+0100,KLSS21,03:10:51,0.06666666666666667,190.91666666666666
