zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta
290,2025-12-08,2025-12-08T06:52:00+0100,,LIR,2025-12-08T07:07:14+0100,,XSMT,
1135,2025-12-08,2025-12-08T02:38:30+0100,,BA,2025-12-08T03:57:33+0100,,KLSS21,
1136,2025-12-08,2025-12-08T23:34:54+0100,,KLSS22,2025-12-09T00:40:33+0100,,XCBA,
2534,2025-12-08,2025-12-08T21:15:08+0100,,OF,2025-12-08T21:45:45+0100,,SFLH1,
3048,2025-12-08,2025-12-08T07:08:52+0100,,NST,2025-12-08T07:34:05+0100,,HW Z3,
5053,2025-12-08,2025-12-08T06:19:17+0100,,HW Z3,2025-12-08T06:48:00+0100,,STW,
5501,2025-12-08,2025-12-08T09:36:00+0100,,PFS,2025-12-08T09:55:00+0100,,RT H1,
5832,2025-12-08,2025-12-08T05:04:21+0100,,BRO,2025-12-08T05:50:30+0100,,NST,
7024,2025-12-08,2025-12-08T09:37:17+0100,,POEA1W,2025-12-08T10:27:24+0100,,PUSH2,
7426,2025-12-08,2025-12-08T18:07:00+0100,,GUKH2,2025-12-08T18:34:19+0100,,OF,
7429,2025-12-08,2025-12-08T19:26:23+0100,,OF,2025-12-08T19:54:00+0100,,GUKH2,
7475,2025-12-08,2025-12-08T18:06:39+0100,,TI K1,2025-12-08T18:32:42+0100,,NBN,
7479,2025-12-08,2025-12-08T20:06:39+0100,,TI K1,2025-12-08T20:32:42+0100,,NBN,
7693,2025-12-08,2025-12-08T19:31:34+0100,,HKAG,2025-12-08T19:35:00+0100,,ASO,
7803,2025-12-08,2025-12-08T04:35:43+0100,,WULH1H,2025-12-08T04:37:30+0100,,WUL,
7804,2025-12-08,2025-12-08T07:19:30+0100,,WUL,2025-12-08T07:21:30+0100,,WULH1H,
7805,2025-12-08,2025-12-08T05:35:43+0100,,WULH1H,2025-12-08T05:37:30+0100,,WUL,
7806,2025-12-08,2025-12-08T08:19:30+0100,,WUL,2025-12-08T08:21:30+0100,,WULH1H,
7807,2025-12-08,2025-12-08T06:35:43+0100,,WULH1H,2025-12-08T06:37:30+0100,,WUL,
7808,2025-12-08,2025-12-08T09:19:30+0100,,WUL,2025-12-08T09:21:30+0100,,WULH1H,
