zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta
3644,2025-11-27,2025-11-27T08:14:00+0100,,STB,2025-11-27T09:01:22+0100,,KUES21,
5390,2025-11-27,2025-11-27T20:14:12+0100,,K  S11,2025-11-27T21:07:30+0100,,H  H3,
7872,2025-11-27,2025-11-27T17:00:30+0100,,WUL,2025-11-27T17:02:06+0100,,WULH1H,
20673,2025-11-27,2025-11-27T18:51:30+0100,,HFG,2025-11-27T19:15:44+0100,,WV,
20680,2025-11-27,2025-11-27T19:30:24+0100,,WV,2025-11-27T19:55:29+0100,,HFG,
25753,2025-11-27,2025-11-27T06:37:30+0100,,MFL,2025-11-27T07:25:43+0100,,HL S51,
25755,2025-11-27,2025-11-27T07:37:30+0100,,MFL,2025-11-27T08:25:43+0100,,HL S51,
25756,2025-11-27,2025-11-27T07:35:43+0100,,HL S52,2025-11-27T08:22:52+0100,,SB G,
25757,2025-11-27,2025-11-27T08:37:30+0100,,MFL,2025-11-27T09:25:43+0100,,HL S51,
25758,2025-11-27,2025-11-27T08:35:43+0100,,HL S52,2025-11-27T09:22:52+0100,,SB G,
25759,2025-11-27,2025-11-27T09:37:30+0100,,MFL,2025-11-27T10:25:43+0100,,HL S51,
25760,2025-11-27,2025-11-27T09:35:43+0100,,HL S52,2025-11-27T10:22:52+0100,,SB G,
25761,2025-11-27,2025-11-27T10:37:30+0100,,MFL,2025-11-27T11:25:43+0100,,HL S51,
25762,2025-11-27,2025-11-27T10:35:43+0100,,HL S52,2025-11-27T11:22:52+0100,,SB G,
25763,2025-11-27,2025-11-27T11:37:30+0100,,MFL,2025-11-27T12:25:43+0100,,HL S51,
25764,2025-11-27,2025-11-27T11:35:43+0100,,HL S52,2025-11-27T12:22:52+0100,,SB G,
25765,2025-11-27,2025-11-27T12:37:30+0100,,MFL,2025-11-27T13:25:43+0100,,HL S51,
25766,2025-11-27,2025-11-27T12:35:43+0100,,HL S52,2025-11-27T13:22:52+0100,,SB G,
25767,2025-11-27,2025-11-27T13:37:30+0100,,MFL,2025-11-27T14:25:43+0100,,HL S51,
25768,2025-11-27,2025-11-27T13:35:43+0100,,HL S52,2025-11-27T14:22:52+0100,,SB G,
25769,2025-11-27,2025-11-27T14:37:30+0100,,MFL,2025-11-27T15:25:43+0100,,HL S51,
25770,2025-11-27,2025-11-27T14:35:42+0100,,HL S52,2025-11-27T15:22:52+0100,,SB G,
25771,2025-11-27,2025-11-27T15:37:30+0100,,MFL,2025-11-27T16:25:43+0100,,HL S51,
25772,2025-11-27,2025-11-27T15:35:42+0100,,HL S52,2025-11-27T16:22:52+0100,,SB G,
25773,2025-11-27,2025-11-27T16:37:30+0100,,MFL,2025-11-27T17:25:43+0100,,HL S51,
25774,2025-11-27,2025-11-27T16:35:43+0100,,HL S52,2025-11-27T17:22:52+0100,,SB G,
25775,2025-11-27,2025-11-27T17:37:30+0100,,MFL,2025-11-27T18:25:43+0100,,HL S51,
25776,2025-11-27,2025-11-27T17:35:43+0100,,HL S52,2025-11-27T18:22:52+0100,,SB G,
25778,2025-11-27,2025-11-27T18:35:43+0100,,HL S52,2025-11-27T19:22:52+0100,,SB G,
25790,2025-11-27,2025-11-27T06:32:00+0100,,HL S52,2025-11-27T07:08:30+0100,,SB G,
25791,2025-11-27,2025-11-27T06:02:00+0100,,SBM,2025-11-27T06:21:34+0100,,HL S51,
26024,2025-11-27,2025-11-27T08:00:21+0100,,BLS,2025-11-27T08:37:26+0100,,OF,
29336,2025-11-27,2025-11-27T07:19:40+0100,,NBN,2025-11-27T08:47:40+0100,,NW H3,
4582,2025-11-28,2025-11-28T17:52:06+0100,,BK,2025-11-28T17:52:06+0100,,BK,
7004,2025-11-28,2025-11-28T05:10:30+0100,,POEA1W,2025-11-28T06:00:00+0100,,PUSH2,
7181,2025-11-28,2025-11-28T05:41:10+0100,,NGG,2025-11-28T05:59:00+0100,,SAUH2,
7182,2025-11-28,2025-11-28T06:35:42+0100,,SAUH2,2025-11-28T06:53:03+0100,,NGG,
7205,2025-11-28,2025-11-28T06:05:00+0100,,WIT,2025-11-28T06:24:30+0100,,PT,
7211,2025-11-28,2025-11-28T07:17:42+0100,,WIT,2025-11-28T07:37:06+0100,,PT,
7216,2025-11-28,2025-11-28T08:23:48+0100,,PT,2025-11-28T08:42:12+0100,,WIT,
23164,2025-11-28,2025-11-28T04:34:33+0100,,O,2025-11-28T04:59:18+0100,,STRS21,
25850,2025-11-28,2025-11-28T05:54:05+0100,,FK H1,2025-11-28T06:36:50+0100,,XSMT,
25851,2025-11-28,2025-11-28T06:45:00+0100,,MT,2025-11-28T07:04:30+0100,,DO H1,
25852,2025-11-28,2025-11-28T07:19:30+0100,,DO H1,2025-11-28T07:36:50+0100,,XSMT,
25853,2025-11-28,2025-11-28T07:45:00+0100,,MT,2025-11-28T08:31:10+0100,,FK H1,
27345,2025-11-28,2025-11-28T07:23:35+0100,,ENZH1,2025-11-28T09:09:36+0100,,KLSS21,
29266,2025-11-28,2025-11-28T06:21:30+0100,,MD,2025-11-28T07:02:40+0100,,NW H3,
29352,2025-11-28,2025-11-28T08:02:46+0100,,HAIH2,2025-11-28T09:11:50+0100,,NW H3,
29381,2025-11-28,2025-11-28T09:14:58+0100,,F  S22,2025-11-28T10:04:30+0100,,LGF,
184,2025-11-29,2025-11-29T09:20:00+0100,,BE,2025-11-29T09:56:00+0100,,I,
544,2025-11-29,2025-11-29T07:34:55+0100,,KLSS22,2025-11-29T10:46:12+0100,,HW Z3,
647,2025-11-29,2025-11-29T13:13:40+0100,,HW Z3,2025-11-29T16:03:24+0100,,MLX,
1780,2025-11-29,2025-11-29T13:51:14+0100,,LZW,2025-11-29T15:08:49+0100,,PAV,
2515,2025-11-29,2025-11-29T12:03:00+0100,,DNV,2025-11-29T12:45:08+0100,,OF,
2520,2025-11-29,2025-11-29T14:15:08+0100,,OF,2025-11-29T14:52:37+0100,,XYDNV,
2525,2025-11-29,2025-11-29T17:03:00+0100,,DNV,2025-11-29T17:45:08+0100,,OF,
2526,2025-11-29,2025-11-29T17:15:08+0100,,OF,2025-11-29T17:52:37+0100,,XYDNV,
2530,2025-11-29,2025-11-29T19:15:08+0100,,OF,2025-11-29T19:52:37+0100,,XYDNV,
2538,2025-11-29,2025-11-29T23:15:08+0100,,OF,2025-11-29T23:52:37+0100,,XYDNV,
3331,2025-11-29,2025-11-29T18:37:44+0100,,SS Z1,2025-11-29T19:35:14+0100,,IWT,
5418,2025-11-29,2025-11-29T14:06:37+0100,,SETH1,2025-11-29T14:25:00+0100,,MW,
5501,2025-11-29,2025-11-29T09:36:00+0100,,PFS,2025-11-29T09:55:00+0100,,RT H1,
5510,2025-11-29,2025-11-29T10:04:00+0100,,RT,2025-11-29T10:26:42+0100,,PFS,
5536,2025-11-29,2025-11-29T08:45:00+0100,,GRO,2025-11-29T08:54:00+0100,,EH,
5537,2025-11-29,2025-11-29T10:31:00+0100,,EH,2025-11-29T10:40:00+0100,,GRO,
5923,2025-11-29,2025-11-29T15:40:00+0100,,PA,2025-11-29T17:08:14+0100,,LZW,
8623,2025-11-29,2025-11-29T09:17:00+0100,,GLD,2025-11-29T09:35:23+0100,,XAWI,
19561,2025-11-29,2025-11-29T05:35:24+0100,,BEL,2025-11-29T07:45:54+0100,,NBN,
20592,2025-11-29,2025-11-29T12:10:24+0100,,WV,2025-11-29T12:35:29+0100,,HFG,
20626,2025-11-29,2025-11-29T15:00:24+0100,,WV,2025-11-29T15:25:29+0100,,HFG,
20633,2025-11-29,2025-11-29T15:31:30+0100,,HFG,2025-11-29T15:55:44+0100,,WV,
23280,2025-11-29,2025-11-29T06:55:06+0100,,LGF,2025-11-29T07:59:13+0100,,STRS21,
2503,2025-11-30,2025-11-30T06:03:00+0100,,DNV,2025-11-30T06:45:08+0100,,OF,
2508,2025-11-30,2025-11-30T08:15:08+0100,,OF,2025-11-30T08:52:37+0100,,XYDNV,
2511,2025-11-30,2025-11-30T10:03:00+0100,,DNV,2025-11-30T10:45:08+0100,,OF,
2516,2025-11-30,2025-11-30T12:15:08+0100,,OF,2025-11-30T12:56:48+0100,,DNV,
2519,2025-11-30,2025-11-30T14:03:00+0100,,DNV,2025-11-30T14:45:08+0100,,OF,
3181,2025-11-30,2025-11-30T06:42:36+0100,,OEPH1,2025-11-30T08:09:00+0100,,UF H1,
4301,2025-11-30,2025-11-30T04:41:25+0100,,FELH1,2025-11-30T05:09:42+0100,,VBO,
20644,2025-11-30,2025-11-30T16:30:24+0100,,WV,2025-11-30T16:55:29+0100,,HFG,
29679,2025-11-30,2025-11-30T16:20:30+0100,,ON,2025-11-30T17:34:30+0100,,LGF,
