zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta
1637,2025-11-24,2025-11-24T13:51:01+0100,,WATS96,2025-11-24T14:54:26+0100,,OW,
2203,2025-11-24,2025-11-24T04:49:46+0100,,NW S42,2025-11-24T05:49:06+0100,,NBN,
2304,2025-11-24,2025-11-24T05:17:27+0100,,NBN,2025-11-24T07:27:24+0100,,XCBA,
2309,2025-11-24,2025-11-24T05:05:24+0100,,BEL,2025-11-24T07:19:00+0100,,NBN,
3363,2025-11-24,2025-11-24T09:03:45+0100,,ROP,2025-11-24T10:05:14+0100,,IWT,
4192,2025-11-24,2025-11-24T06:57:11+0100,,WI U3,2025-11-24T07:32:38+0100,,GZS,
8057,2025-11-24,2025-11-24T19:18:00+0100,,LZ,2025-11-24T20:34:30+0100,,XANSP,
19110,2025-11-24,2025-11-24T18:54:06+0100,,JP S22,2025-11-24T19:45:55+0100,,SBM,
23204,2025-11-24,2025-11-24T04:51:00+0100,,BU,2025-11-24T05:59:17+0100,,STRS21,
29175,2025-11-24,2025-11-24T04:22:00+0100,,F,2025-11-24T05:02:48+0100,,BU,
29226,2025-11-24,2025-11-24T05:24:30+0100,,BU,2025-11-24T06:02:40+0100,,NW H3,
29297,2025-11-24,2025-11-24T07:00:15+0100,,STRS22,2025-11-24T07:50:57+0100,,MAT,
29417,2025-11-24,2025-11-24T10:00:15+0100,,STRS22,2025-11-24T10:50:57+0100,,MAT,
93301,2025-11-24,2025-11-24T08:00:38+0100,,KTF,2025-11-24T08:53:46+0100,,GZS,
93302,2025-11-24,2025-11-24T09:05:41+0100,,GZS,2025-11-24T09:59:07+0100,,KTF,
93305,2025-11-24,2025-11-24T11:10:21+0100,,WIAW1,2025-11-24T11:33:52+0100,,WSTS12,
93306,2025-11-24,2025-11-24T12:21:18+0100,,WTTS12,2025-11-24T12:28:37+0100,,WRW,
93307,2025-11-24,2025-11-24T12:41:16+0100,,WIF,2025-11-24T12:45:13+0100,,WTTW1,
93308,2025-11-24,2025-11-24T12:55:28+0100,,WTTW1,2025-11-24T13:13:46+0100,,GZS,
93315,2025-11-24,2025-11-24T15:35:41+0100,,GZS,2025-11-24T16:34:23+0100,,KTF,
1255,2025-11-25,2025-11-25T23:04:08+0100,,KLSS22,2025-11-25T23:17:30+0100,,WBF,
1563,2025-11-25,2025-11-25T06:30:22+0100,,OF,2025-11-25T06:51:10+0100,,GN S11,
1566,2025-11-25,2025-11-25T07:10:27+0100,,GN S12,2025-11-25T07:30:12+0100,,OF,
1654,2025-11-25,2025-11-25T17:54:26+0100,,OW,2025-11-25T18:52:22+0100,,WATS95,
1658,2025-11-25,2025-11-25T18:54:26+0100,,OW,2025-11-25T19:52:22+0100,,WATS95,
2201,2025-11-25,2025-11-25T04:19:51+0100,,NW S42,2025-11-25T05:21:30+0100,,NBN,
2203,2025-11-25,2025-11-25T04:49:46+0100,,NW S42,2025-11-25T05:49:06+0100,,NBN,
2204,2025-11-25,2025-11-25T05:34:42+0100,,NBN,2025-11-25T06:37:53+0100,,NW H3,
2301,2025-11-25,2025-11-25T04:10:20+0100,,NW S42,2025-11-25T05:19:00+0100,,NBN,
3104,2025-11-25,2025-11-25T05:35:00+0100,,UF H1,2025-11-25T05:52:00+0100,,OTTH1,
3401,2025-11-25,2025-11-25T05:56:47+0100,,IL A1,2025-11-25T06:48:19+0100,,AK H1,
4027,2025-11-25,2025-11-25T08:24:08+0100,,NI H1,2025-11-25T09:23:32+0100,,GMI,
4670,2025-11-25,2025-11-25T07:42:30+0100,,MRN,2025-11-25T07:50:00+0100,,KTS,
5211,2025-11-25,2025-11-25T10:33:00+0100,,BE,2025-11-25T11:09:05+0100,,I  W1,
5264,2025-11-25,2025-11-25T17:20:30+0100,,I  W1,2025-11-25T17:35:30+0100,,MEI,
5267,2025-11-25,2025-11-25T18:24:00+0100,,MEI,2025-11-25T18:39:05+0100,,I  W1,
5322,2025-11-25,2025-11-25T11:55:23+0100,,WTS,2025-11-25T12:37:30+0100,,H  H3,
6532,2025-11-25,2025-11-25T12:37:00+0100,,PEMH1,2025-11-25T13:24:30+0100,,NBF,
7704,2025-11-25,2025-11-25T05:16:00+0100,,PTA,2025-11-25T06:13:29+0100,,OF,
7707,2025-11-25,2025-11-25T06:16:39+0100,,OF,2025-11-25T07:07:14+0100,,XYPTA,
7708,2025-11-25,2025-11-25T06:11:30+0100,,PTA,2025-11-25T07:13:29+0100,,OF,
7710,2025-11-25,2025-11-25T06:46:00+0100,,PTA,2025-11-25T07:43:09+0100,,OF,
7721,2025-11-25,2025-11-25T09:46:45+0100,,OF,2025-11-25T10:41:10+0100,,XYPTA,
9423,2025-11-25,2025-11-25T14:10:27+0100,,OF,2025-11-25T15:00:08+0100,,XHHE,
9424,2025-11-25,2025-11-25T12:45:00+0100,,HE,2025-11-25T13:44:29+0100,,OF,
9449,2025-11-25,2025-11-25T19:52:00+0100,,UR,2025-11-25T20:11:22+0100,,XHHE,
9476,2025-11-25,2025-11-25T18:45:00+0100,,HE,2025-11-25T19:07:55+0100,,UR,
20118,2025-11-25,2025-11-25T09:12:52+0100,,OW,2025-11-25T09:27:42+0100,,HF H4,
20123,2025-11-25,2025-11-25T10:01:42+0100,,HF H4,2025-11-25T10:16:53+0100,,OW,
22742,2025-11-25,2025-11-25T18:25:06+0100,,LGF,2025-11-25T19:13:46+0100,,F  S21,
25041,2025-11-25,2025-11-25T14:44:00+0100,,STC,2025-11-25T15:20:36+0100,,HFG,
25044,2025-11-25,2025-11-25T15:39:00+0100,,HFG,2025-11-25T16:15:00+0100,,STC,
25049,2025-11-25,2025-11-25T16:44:00+0100,,STC,2025-11-25T17:20:36+0100,,HFG,
25052,2025-11-25,2025-11-25T17:39:00+0100,,HFG,2025-11-25T18:15:00+0100,,STC,
25057,2025-11-25,2025-11-25T18:44:00+0100,,STC,2025-11-25T19:20:36+0100,,HFG,
29161,2025-11-25,2025-11-25T04:01:21+0100,,NW S42,2025-11-25T04:39:48+0100,,BU,
29216,2025-11-25,2025-11-25T05:09:00+0100,,BU,2025-11-25T05:47:53+0100,,NW H3,
29701,2025-11-25,2025-11-25T17:14:58+0100,,F  S22,2025-11-25T18:04:30+0100,,LGF,
37710,2025-11-25,2025-11-25T06:00:00+0100,,GTT,2025-11-25T06:42:39+0100,,OF,
93320,2025-11-25,2025-11-25T15:02:00+0100,,Z,2025-11-25T15:02:00+0100,,Z,
1653,2025-11-26,2025-11-26T17:51:01+0100,,WATS96,2025-11-26T18:54:26+0100,,OW,
2264,2025-11-26,2025-11-26T21:14:30+0100,,MI,2025-11-26T21:37:53+0100,,NW H3,
2267,2025-11-26,2025-11-26T20:49:51+0100,,NW S42,2025-11-26T21:12:27+0100,,MAT,
2565,2025-11-26,2025-11-26T11:27:30+0100,,SFLH1,2025-11-26T12:13:01+0100,,OF,
2921,2025-11-26,2025-11-26T10:07:18+0100,,NBS,2025-11-26T10:31:42+0100,,GLOS21,
5207,2025-11-26,2025-11-26T08:33:28+0100,,XISTI,2025-11-26T09:09:05+0100,,I  W1,
5556,2025-11-26,2025-11-26T06:56:00+0100,,B,2025-11-26T07:59:00+0100,,LIR,
7878,2025-11-26,2025-11-26T18:42:30+0100,,WUL,2025-11-26T18:49:00+0100,,E,
7881,2025-11-26,2025-11-26T18:59:30+0100,,ESU,2025-11-26T19:01:00+0100,,E,
20130,2025-11-26,2025-11-26T12:12:52+0100,,OW,2025-11-26T12:27:42+0100,,HF H4,
20135,2025-11-26,2025-11-26T13:01:42+0100,,HF H4,2025-11-26T13:16:53+0100,,OW,
22702,2025-11-26,2025-11-26T17:25:06+0100,,LGF,2025-11-26T18:13:45+0100,,F  S21,
23164,2025-11-26,2025-11-26T04:34:33+0100,,O,2025-11-26T04:59:18+0100,,STRS21,
29257,2025-11-26,2025-11-26T05:59:38+0100,,STRS22,2025-11-26T06:51:00+0100,,MAT,
29781,2025-11-26,2025-11-26T19:14:58+0100,,F  S22,2025-11-26T20:04:30+0100,,LGF,
29841,2025-11-26,2025-11-26T21:01:16+0100,,NW S42,2025-11-26T21:34:30+0100,,LGF,
1607,2025-11-27,2025-11-27T06:21:01+0100,,WATS96,2025-11-27T07:24:26+0100,,OW,
1777,2025-11-27,2025-11-27T06:25:00+0100,,PA,2025-11-27T07:45:33+0100,,LZW,
2259,2025-11-27,2025-11-27T18:49:51+0100,,NW S42,2025-11-27T19:49:06+0100,,NBN,
